q,I
2.039995199999999811e-03,3.289128202506737611e-03
2.884988900000000096e-03,3.288962636562339174e-03
4.079990399999999622e-03,3.288631530478514607e-03
4.561568000000000220e-03,3.288465990338169508e-03
5.769977800000000191e-03,3.287969421517863543e-03
6.119985599999999866e-03,3.287803915776470881e-03
6.451031299999999968e-03,3.287638418633668375e-03
7.355307299999999833e-03,3.287141978792177451e-03
8.159980799999999243e-03,3.286645616321406168e-03
8.411115699999999196e-03,3.286480179355828844e-03
8.654966599999999385e-03,3.286314750985154520e-03
9.123135799999999504e-03,3.285983920026681708e-03
1.019997589999999989e-02,3.285156993009147579e-03
1.040197520000000000e-02,3.284991633381154075e-03
1.098571020000000016e-02,3.284495606039929301e-03
1.153995529999999985e-02,3.283999656003169874e-03
1.189511369999999950e-02,3.283669065586132790e-03
1.223997100000000053e-02,3.283338509517435416e-03
1.240880609999999926e-02,3.283173244362565680e-03
1.290206219999999980e-02,3.282677500410367561e-03
1.306234239999999949e-02,3.282512269595571144e-03
1.368470339999999959e-02,3.281851432170473145e-03
1.427996599999999984e-02,3.281190732057881129e-03
1.442494390000000071e-02,3.281025578481356047e-03
1.471061409999999993e-02,3.280695297067066397e-03
1.485138870000000076e-02,3.280530169228369416e-03
1.553614000000000037e-02,3.279704658701052943e-03
1.593287120000000043e-02,3.279209455301055481e-03
1.631996089999999955e-02,3.278714329073202996e-03
1.644696630000000090e-02,3.278549304144465649e-03
1.682223050000000025e-02,3.278054280793527616e-03
1.730993239999999850e-02,3.277394369657390515e-03
1.742972569999999902e-02,3.277229413298583284e-03
1.754870130000000042e-02,3.277064465508956574e-03
1.824627070000000087e-02,3.276074958698204070e-03
1.835995569999999966e-02,3.275910070879965458e-03
1.847294110000000100e-02,3.275745191627232791e-03
1.880782519999999944e-02,3.275250605257487308e-03
1.924527490000000132e-02,3.274591276653780920e-03
1.935309240000000069e-02,3.274426465908597712e-03
2.009162109999999835e-02,3.273273030385312043e-03
2.019492059999999922e-02,3.273108288118347590e-03
2.039995039999999843e-02,3.272778829257098811e-03
2.050169640000000168e-02,3.272614112661901154e-03
2.080394890000000080e-02,3.272120014212516470e-03
2.100303430000000082e-02,3.271790658021868879e-03
2.129817330000000064e-02,3.271296687890122828e-03
2.168544450000000137e-02,3.270638180783149926e-03
2.197141860000000058e-02,3.270144390238389348e-03
2.206591980000000008e-02,3.269979810489703244e-03
2.243994499999999934e-02,3.269321576980509323e-03
2.253248119999999924e-02,3.269157039972312752e-03
2.280783739999999934e-02,3.268663480226277358e-03
2.307990860000000075e-02,3.268169997388427079e-03
2.325952140000000015e-02,3.267841051550532134e-03
2.379022509999999951e-02,3.266854419055884636e-03
2.387752890000000017e-02,3.266690010200573070e-03
2.447993949999999891e-02,3.265539387304138008e-03
2.456479220000000116e-02,3.265375046754974506e-03
2.464935279999999965e-02,3.265210714742020938e-03
2.481760959999999849e-02,3.264882076322913468e-03
2.490131170000000130e-02,3.264717769915854041e-03
2.523334379999999863e-02,3.264060629626896245e-03
2.556106320000000112e-02,3.263403625858838503e-03
2.580412149999999905e-02,3.262910962607059543e-03
2.596489630000000173e-02,3.262582563086761228e-03
2.612468180000000056e-02,3.262254197680267576e-03
2.651993379999999928e-02,3.261433433387870943e-03
2.659827940000000085e-02,3.261269306106974204e-03
2.683194360000000153e-02,3.260776975411223532e-03
2.721692649999999866e-02,3.259956594714116980e-03
2.736940339999999888e-02,3.259628502086486194e-03
2.744532419999999931e-02,3.259464468553252732e-03
2.774693010000000085e-02,3.258808419613530745e-03
2.834051430000000121e-02,3.257496730566718148e-03
2.841384049999999897e-02,3.257332807755046813e-03
2.855992799999999832e-02,3.257004987672782945e-03
2.863269220000000045e-02,3.256841090401280982e-03
2.884988380000000005e-02,3.256349449659886111e-03
2.899377430000000047e-02,3.256021731721967308e-03
2.920828110000000047e-02,3.255530218640522756e-03
2.942122390000000143e-02,3.255038782138628198e-03
2.970277299999999829e-02,3.254383652571952654e-03
3.012016249999999867e-02,3.253401213382441006e-03
3.032670299999999999e-02,3.252910108583261656e-03
3.059992200000000162e-02,3.252255421204059381e-03
3.066784640000000048e-02,3.252091770609733933e-03
3.087072290000000135e-02,3.251600869820634680e-03
3.107227489999999856e-02,3.251110045512810732e-03
3.113916889999999993e-02,3.250946454403897540e-03
3.120591959999999970e-02,3.250782871791100051e-03
3.166923519999999964e-02,3.249638031354064750e-03
3.173487090000000344e-02,3.249474516693673116e-03
3.186573689999999681e-02,3.249147512848488475e-03
3.193096869999999948e-02,3.248984023662755682e-03
3.225514909999999819e-02,3.248166705084697473e-03
3.263991580000000226e-02,3.247186202902310401e-03
3.270360349999999749e-02,3.247022815574330309e-03
3.289392669999999935e-02,3.246532704499714966e-03
3.295712349999999763e-02,3.246369351109771283e-03
3.320870809999999784e-02,3.245716022379219624e-03
3.345840099999999873e-02,3.245062829353630857e-03
3.364445469999999966e-02,3.244573023623365145e-03
3.376792089999999802e-02,3.244246528862508149e-03
3.395227840000000080e-02,3.243756850301162363e-03
3.419654240000000178e-02,3.243104064216198023e-03
3.461985769999999935e-02,3.241962014810634198e-03
3.467990950000000155e-02,3.241798898783683058e-03
3.473985749999999872e-02,3.241635791227410069e-03
3.485944419999999905e-02,3.241309601525060608e-03
3.491908400000000301e-02,3.241146519378088585e-03
3.509739530000000052e-02,3.240657323748513761e-03
3.521576790000000012e-02,3.240331235667049184e-03
3.562697489999999689e-02,3.239190194055864558e-03
3.568533189999999883e-02,3.239027221968715335e-03
3.609118929999999975e-02,3.237886654296552418e-03
3.614879690000000201e-02,3.237723749900485535e-03
3.632107169999999885e-02,3.237235087466605772e-03
3.649253310000000194e-02,3.236746501154606076e-03
3.671990299999999818e-02,3.236095171129365483e-03
3.677652580000000115e-02,3.235932359761235517e-03
3.694587359999999820e-02,3.235443976381266809e-03
3.722640800000000250e-02,3.234630173135536347e-03
3.744932249999999990e-02,3.233979282655192328e-03
3.750484409999999685e-02,3.233816581158590903e-03
3.761564139999999667e-02,3.233491203510394530e-03
3.794609239999999911e-02,3.232515273293436967e-03
3.811024350000000172e-02,3.232027422196876148e-03
3.832801789999999709e-02,3.231377072275248407e-03
3.849054019999999937e-02,3.230889398473597244e-03
3.870617500000000238e-02,3.230239284900924667e-03
3.875989619999999775e-02,3.230076777605246380e-03
3.881354310000000030e-02,3.229914278747681149e-03
3.897404079999999826e-02,3.229426832799071976e-03
3.918701509999999999e-02,3.228777022973557901e-03
3.924007809999999902e-02,3.228614591604532600e-03
3.939883820000000120e-02,3.228127348099843561e-03
3.960952859999999909e-02,3.227477808149053183e-03
4.007953250000000078e-02,3.226016836422063074e-03
4.018323120000000248e-02,3.225692268744847612e-03
4.023498040000000192e-02,3.225529997545355763e-03
4.038983000000000156e-02,3.225043234497827760e-03
4.049273419999999818e-02,3.224718767920817762e-03
4.064660190000000256e-02,3.224232131228229291e-03
4.079988930000000291e-02,3.223745570332371690e-03
4.085085730000000137e-02,3.223583400208705502e-03
4.100338109999999980e-02,3.223096940356232499e-03
4.105409649999999799e-02,3.222934803910100163e-03
4.125633449999999841e-02,3.222286342303572193e-03
4.130673929999999910e-02,3.222124247944205353e-03
4.160788569999999964e-02,3.221151858508268170e-03
4.185718599999999762e-02,3.220341765348249882e-03
4.200605599999999995e-02,3.219855810388454458e-03
4.205556230000000173e-02,3.219693842221874307e-03
4.244953370000000004e-02,3.218398399584369417e-03
4.259633349999999985e-02,3.217912747300922822e-03
4.283988209999999713e-02,3.217103494908617797e-03
4.288842589999999899e-02,3.216941669638133210e-03
4.303372860000000133e-02,3.216456244234477610e-03
4.322670569999999962e-02,3.215809127964423374e-03
4.327481560000000227e-02,3.215647369894204105e-03
4.337087509999999757e-02,3.215323878947299457e-03
4.361009829999999698e-02,3.214515298521663806e-03
4.365778569999999997e-02,3.214353607622946838e-03
4.380053619999999676e-02,3.213868585291449354e-03
4.394282299999999891e-02,3.213383638497583576e-03
4.403742540000000344e-02,3.213060382594350953e-03
4.413182499999999953e-02,3.212737160254415438e-03
4.455414840000000015e-02,3.211283074974299011e-03
4.474056810000000273e-02,3.210637032902328557e-03
4.478705179999999814e-02,3.210475543345695654e-03
4.487987470000000256e-02,3.210152589382894456e-03
4.492621420000000171e-02,3.209991124975834081e-03
4.506494700000000103e-02,3.209506782046702127e-03
4.515719859999999669e-02,3.209183928666094112e-03
4.529522390000000065e-02,3.208699711444539752e-03
4.561565869999999884e-02,3.207570164494899338e-03
4.584316940000000146e-02,3.206763596521367519e-03
4.602436819999999873e-02,3.206118492865255108e-03
4.615980060000000190e-02,3.205634753025969445e-03
4.624986849999999927e-02,3.205312301651509418e-03
4.651902589999999671e-02,3.204345148377108713e-03
4.656373419999999819e-02,3.204183985450483139e-03
