q,I
2.039995199999999811e-03,5.290570563032010419e-03
2.884988900000000096e-03,5.290531437880433528e-03
4.079990399999999622e-03,5.290453189087837051e-03
4.561568000000000220e-03,5.290414065446800984e-03
5.769977800000000191e-03,5.290296697544622645e-03
6.119985599999999866e-03,5.290257575917517267e-03
6.451031299999999968e-03,5.290218454793871143e-03
7.355307299999999833e-03,5.290101094443599820e-03
8.159980799999999243e-03,5.289983738624179019e-03
8.411115699999999196e-03,5.289944621024510879e-03
8.654966599999999385e-03,5.289905503928223063e-03
9.123135799999999504e-03,5.289827271245814422e-03
1.019997589999999989e-02,5.289631698348530413e-03
1.040197520000000000e-02,5.289592585279088294e-03
1.098571020000000016e-02,5.289475249090549482e-03
1.153995529999999985e-02,5.289357917431575760e-03
1.189511369999999950e-02,5.289279698841953085e-03
1.223997100000000053e-02,5.289201482265334757e-03
1.240880609999999926e-02,5.289162374731836737e-03
1.290206219999999980e-02,5.289045055150625417e-03
1.306234239999999949e-02,5.289005949629901893e-03
1.368470339999999959e-02,5.288849532578980897e-03
1.427996599999999984e-02,5.288693123578504761e-03
1.442494390000000071e-02,5.288654022586111204e-03
1.471061409999999993e-02,5.288575822110687906e-03
1.485138870000000076e-02,5.288536722627719747e-03
1.553614000000000037e-02,5.288341232758465502e-03
1.593287120000000043e-02,5.288223944873340909e-03
1.631996089999999955e-02,5.288106661515589585e-03
1.644696630000000090e-02,5.288067568068817274e-03
1.682223050000000025e-02,5.287950290746662452e-03
1.730993239999999850e-02,5.287793928024786191e-03
1.742972569999999902e-02,5.287754838601817740e-03
1.754870130000000042e-02,5.287715749681475008e-03
1.824627070000000087e-02,5.287481226720820195e-03
1.835995569999999966e-02,5.287442141320921815e-03
1.847294110000000100e-02,5.287403056423630940e-03
1.880782519999999944e-02,5.287285804748535246e-03
1.924527490000000132e-02,5.287129476221084923e-03
1.935309240000000069e-02,5.287090395346373192e-03
2.009162109999999835e-02,5.286816843298732665e-03
2.019492059999999922e-02,5.286777766445435213e-03
2.039995039999999843e-02,5.286699614247531050e-03
2.050169640000000168e-02,5.286660538902798571e-03
2.080394890000000080e-02,5.286543315883575692e-03
2.100303430000000082e-02,5.286465169717016223e-03
2.129817330000000064e-02,5.286347954237524335e-03
2.168544450000000137e-02,5.286191673967041878e-03
2.197141860000000058e-02,5.286074469041722110e-03
2.206591980000000008e-02,5.286035401737997595e-03
2.243994499999999934e-02,5.285879137549910102e-03
2.253248119999999924e-02,5.285840072758949890e-03
2.280783739999999934e-02,5.285722881400746302e-03
2.307990860000000075e-02,5.285605694564362265e-03
2.325952140000000015e-02,5.285527572519614983e-03
2.379022509999999951e-02,5.285293218441827930e-03
2.387752890000000017e-02,5.285254161187542127e-03
2.447993949999999891e-02,5.284980774470965544e-03
2.456479220000000116e-02,5.284941721234360026e-03
2.464935279999999965e-02,5.284902668500510332e-03
2.481760959999999849e-02,5.284824564540270032e-03
2.490131170000000130e-02,5.284785513312394503e-03
2.523334379999999863e-02,5.284629313427632695e-03
2.556106320000000112e-02,5.284473121576880109e-03
2.580412149999999905e-02,5.284355982962619415e-03
2.596489630000000173e-02,5.284277893062709272e-03
2.612468180000000056e-02,5.284199805172280252e-03
2.651993379999999928e-02,5.284004594233821135e-03
2.659827940000000085e-02,5.283965553552089425e-03
2.683194360000000153e-02,5.283848434520125453e-03
2.721692649999999866e-02,5.283653246173235576e-03
2.736940339999999888e-02,5.283575174347818725e-03
2.744532419999999931e-02,5.283536139187861892e-03
2.774693010000000085e-02,5.283380003570656638e-03
2.834051430000000121e-02,5.283067756427057941e-03
2.841384049999999897e-02,5.283028727793247920e-03
2.855992799999999832e-02,5.282950672030869120e-03
2.863269220000000045e-02,5.282911644901951663e-03
2.884988380000000005e-02,5.282794566525563819e-03
2.899377430000000047e-02,5.282716516782947833e-03
2.920828110000000047e-02,5.282599445935520083e-03
2.942122390000000143e-02,5.282482379601619038e-03
2.970277299999999829e-02,5.282326298183417576e-03
3.012016249999999867e-02,5.282092191104076524e-03
