q,I
2.039995199999999811e-03,8.493209581067707938e-05
2.884988900000000096e-03,8.493021081636795860e-05
4.079990399999999622e-03,8.492644095328350992e-05
4.561568000000000220e-03,8.492455608450639310e-05
5.769977800000000191e-03,8.491890172922398011e-05
6.119985599999999866e-03,8.491701702780975875e-05
6.451031299999999968e-03,8.491513236823403186e-05
7.355307299999999833e-03,8.490947864052787047e-05
8.159980799999999243e-03,8.490382528933403410e-05
8.411115699999999196e-03,8.490194092260119202e-05
8.654966599999999385e-03,8.490005659769926855e-05
9.123135799999999504e-03,8.489628807338465380e-05
1.019997589999999989e-02,8.488686749457559062e-05
1.040197520000000000e-02,8.488498350428811052e-05
1.098571020000000016e-02,8.487933178435783912e-05
1.153995529999999985e-02,8.487368044080604798e-05
1.189511369999999950e-02,8.486991308752521641e-05
1.223997100000000053e-02,8.486614590150499938e-05
1.240880609999999926e-02,8.486426237121533602e-05
1.290206219999999980e-02,8.485861203121724389e-05
1.306234239999999949e-02,8.485672866817168809e-05
1.368470339999999959e-02,8.484919563406714675e-05
1.427996599999999984e-02,8.484166326884269073e-05
1.442494390000000071e-02,8.483978028204186529e-05
1.471061409999999993e-02,8.483601443384074529e-05
1.485138870000000076e-02,8.483413157243832299e-05
1.553614000000000037e-02,8.482471789237125415e-05
1.593287120000000043e-02,8.481907018585341500e-05
1.631996089999999955e-02,8.481342285544685449e-05
1.644696630000000090e-02,8.481154049555369382e-05
1.682223050000000025e-02,8.480589366658979782e-05
1.730993239999999850e-02,8.479836514627149254e-05
1.742972569999999902e-02,8.479648312064387897e-05
1.754870130000000042e-02,8.479460113679538626e-05
1.824627070000000087e-02,8.478331011101167649e-05
1.835995569999999966e-02,8.478142841959024996e-05
1.847294110000000100e-02,8.477954676994040907e-05
1.880782519999999944e-02,8.477390207161096774e-05
1.924527490000000132e-02,8.476637639191779070e-05
1.935309240000000069e-02,8.476449507640725512e-05
2.009162109999999835e-02,8.475132703715189170e-05
2.019492059999999922e-02,8.474944605572135557e-05
