q,I
2.039995199999999811e-03,1.896704441927187694e-03
2.884988900000000096e-03,1.896609594718600160e-03
4.079990399999999622e-03,1.896419914684058846e-03
4.561568000000000220e-03,1.896325081857530874e-03
5.769977800000000191e-03,1.896040612138226271e-03
6.119985599999999866e-03,1.895945798484692654e-03
6.451031299999999968e-03,1.895850989623363431e-03
7.355307299999999833e-03,1.895566591792310690e-03
8.159980799999999243e-03,1.895282237086440193e-03
8.411115699999999196e-03,1.895187461766106689e-03
8.654966599999999385e-03,1.895092691235668444e-03
9.123135799999999504e-03,1.894903164547761566e-03
1.019997589999999989e-02,1.894429431645402138e-03
1.040197520000000000e-02,1.894334699432974767e-03
1.098571020000000016e-02,1.894050531520973706e-03
1.153995529999999985e-02,1.893766406696833398e-03
1.189511369999999950e-02,1.893577014084456061e-03
1.223997100000000053e-02,1.893387640620673327e-03
1.240880609999999926e-02,1.893292961065692285e-03
1.290206219999999980e-02,1.893008951114061268e-03
1.306234239999999949e-02,1.892914290697289255e-03
1.368470339999999959e-02,1.892535696891031955e-03
1.427996599999999984e-02,1.892157179628508679e-03
1.442494390000000071e-02,1.892062562265781154e-03
1.471061409999999993e-02,1.891873341889829460e-03
1.485138870000000076e-02,1.891778738882961101e-03
1.553614000000000037e-02,1.891305795539796608e-03
1.593287120000000043e-02,1.891022086898338150e-03
1.631996089999999955e-02,1.890738421295171806e-03
1.644696630000000090e-02,1.890643875642210444e-03
1.682223050000000025e-02,1.890360267376415496e-03
1.730993239999999850e-02,1.889982189896611793e-03
1.742972569999999902e-02,1.889887682484334488e-03
1.754870130000000042e-02,1.889793179829208887e-03
1.824627070000000087e-02,1.889226264259279532e-03
1.835995569999999966e-02,1.889131795059926155e-03
1.847294110000000100e-02,1.889037330619589526e-03
1.880782519999999944e-02,1.888753965935562615e-03
1.924527490000000132e-02,1.888376213202151016e-03
1.935309240000000069e-02,1.888281786966528085e-03
2.009162109999999835e-02,1.887620936845039923e-03
2.019492059999999922e-02,1.887526548756282433e-03
2.039995039999999843e-02,1.887337786935346963e-03
2.050169640000000168e-02,1.887243413194976968e-03
2.080394890000000080e-02,1.886960320526994079e-03
2.100303430000000082e-02,1.886771615908353376e-03
2.129817330000000064e-02,1.886488594797702594e-03
2.168544450000000137e-02,1.886111300015874551e-03
2.197141860000000058e-02,1.885828379031940366e-03
2.206591980000000008e-02,1.885734081544165539e-03
2.243994499999999934e-02,1.885356939370436613e-03
2.253248119999999924e-02,1.885262665728418968e-03
2.280783739999999934e-02,1.884979873376762139e-03
2.307990860000000075e-02,1.884697123885588268e-03
2.325952140000000015e-02,1.884508648090370666e-03
2.379022509999999951e-02,1.883943334926607184e-03
2.387752890000000017e-02,1.883849132759419934e-03
2.447993949999999891e-02,1.883189850752928999e-03
2.456479220000000116e-02,1.883095686607286646e-03
2.464935279999999965e-02,1.883001527254165057e-03
2.481760959999999849e-02,1.882813222870715914e-03
2.490131170000000130e-02,1.882719077737280517e-03
2.523334379999999863e-02,1.882342545085874397e-03
2.556106320000000112e-02,1.881966088457653419e-03
2.580412149999999905e-02,1.881683795992753361e-03
2.596489630000000173e-02,1.881495624714381526e-03
2.612468180000000056e-02,1.881307472520545509e-03
2.651993379999999928e-02,1.880837175291806464e-03
2.659827940000000085e-02,1.880743130086864716e-03
2.683194360000000153e-02,1.880461023052989577e-03
2.721692649999999866e-02,1.879990939642636489e-03
2.736940339999999888e-02,1.879802939492015079e-03
2.744532419999999931e-02,1.879708946527581040e-03
2.774693010000000085e-02,1.879333022382617853e-03
2.834051430000000121e-02,1.878581401952395457e-03
2.841384049999999897e-02,1.878487470809865351e-03
2.855992799999999832e-02,1.878299622746376326e-03
2.863269220000000045e-02,1.878205705802120937e-03
2.884988380000000005e-02,1.877923983404878672e-03
2.899377430000000047e-02,1.877736192153670438e-03
2.920828110000000047e-02,1.877454541080093462e-03
2.942122390000000143e-02,1.877172932549683176e-03
2.970277299999999829e-02,1.876797521113674492e-03
3.012016249999999867e-02,1.876234546043982227e-03
3.032670299999999999e-02,1.875953122558680517e-03
3.059992200000000162e-02,1.875577957631593181e-03
3.066784640000000048e-02,1.875484178355951281e-03
3.087072290000000135e-02,1.875202868632211374e-03
