q,I
2.039995199999999811e-03,6.248723290557436048e-03
2.884988900000000096e-03,6.248667877355795069e-03
4.079990399999999622e-03,6.248557053820462046e-03
4.561568000000000220e-03,6.248501643486730969e-03
5.769977800000000191e-03,6.248335418220972437e-03
6.119985599999999866e-03,6.248280011710791344e-03
6.451031299999999968e-03,6.248224606156448091e-03
7.355307299999999833e-03,6.248058395228164343e-03
8.159980799999999243e-03,6.247892192901548583e-03
8.411115699999999196e-03,6.247836794037385857e-03
8.654966599999999385e-03,6.247781396128865815e-03
9.123135799999999504e-03,6.247670603178683522e-03
1.019997589999999989e-02,6.247393637525498061e-03
1.040197520000000000e-02,6.247338247261349266e-03
1.098571020000000016e-02,6.247172082201472680e-03
1.153995529999999985e-02,6.247005925739964639e-03
1.189511369999999950e-02,6.246895159542207275e-03
1.223997100000000053e-02,6.246784397165481076e-03
1.240880609999999926e-02,6.246729017409947959e-03
1.290206219999999980e-02,6.246562883874423079e-03
1.306234239999999949e-02,6.246507507939523876e-03
1.368470339999999959e-02,6.246286013750699563e-03
1.427996599999999984e-02,6.246064534842046476e-03
1.442494390000000071e-02,6.246009167502218108e-03
1.471061409999999993e-02,6.245898435687259435e-03
1.485138870000000076e-02,6.245843071212057139e-03
1.553614000000000037e-02,6.245566263158014615e-03
1.593287120000000043e-02,6.245400189782317375e-03
1.631996089999999955e-02,6.245234124998416680e-03
1.644696630000000090e-02,6.245178771979612714e-03
1.682223050000000025e-02,6.245012718650481444e-03
1.730993239999999850e-02,6.244791327574328310e-03
1.742972569999999902e-02,6.244735982191315649e-03
1.754870130000000042e-02,6.244680637762682791e-03
1.824627070000000087e-02,6.244348591231384422e-03
1.835995569999999966e-02,6.244293253482702429e-03
1.847294110000000100e-02,6.244237916688207685e-03
1.880782519999999944e-02,6.244071912029617102e-03
1.924527490000000132e-02,6.243850585842082752e-03
1.935309240000000069e-02,6.243795256680273291e-03
2.009162109999999835e-02,6.243407979257801881e-03
2.019492059999999922e-02,6.243352657727214462e-03
2.039995039999999843e-02,6.243242017527407019e-03
2.050169640000000168e-02,6.243186698858143625e-03
2.080394890000000080e-02,6.243020748572641540e-03
2.100303430000000082e-02,6.242910119817351305e-03
2.129817330000000064e-02,6.242744183836467474e-03
2.168544450000000137e-02,6.242522949211552589e-03
2.197141860000000058e-02,6.242357033254222753e-03
2.206591980000000008e-02,6.242301729841946006e-03
2.243994499999999934e-02,6.242080525726219180e-03
2.253248119999999924e-02,6.242025227080524527e-03
2.280783739999999934e-02,6.241859336862907136e-03
2.307990860000000075e-02,6.241693455223927545e-03
2.325952140000000015e-02,6.241582872230222803e-03
2.379022509999999951e-02,6.241251146122131499e-03
2.387752890000000017e-02,6.241195861772835113e-03
2.447993949999999891e-02,6.240808898008112782e-03
2.456479220000000116e-02,6.240753621281479313e-03
2.464935279999999965e-02,6.240698345507574192e-03
2.481760959999999849e-02,6.240587796817847512e-03
