q,I
2.039995199999999811e-03,8.245350096485522945e-03
2.884988900000000096e-03,8.245144864244638785e-03
4.079990399999999622e-03,8.244734421319246942e-03
4.561568000000000220e-03,8.244529210634014144e-03
5.769977800000000191e-03,8.243913621684707468e-03
6.119985599999999866e-03,8.243708439736393764e-03
6.451031299999999968e-03,8.243503264970995781e-03
7.355307299999999833e-03,8.242887783771820839e-03
8.159980799999999243e-03,8.242272367212803708e-03
8.411115699999999196e-03,8.242067242722059955e-03
8.654966599999999385e-03,8.241862125411281159e-03
9.123135799999999504e-03,8.241451912333740137e-03
1.019997589999999989e-02,8.240426505281827144e-03
1.040197520000000000e-02,8.240221445409198070e-03
1.098571020000000016e-02,8.239606308853170483e-03
1.153995529999999985e-02,8.238991236889751935e-03
1.189511369999999950e-02,8.238581224798049996e-03
1.223997100000000053e-02,8.238171241412099374e-03
1.240880609999999926e-02,8.237966260478984948e-03
1.290206219999999980e-02,8.237351360726166347e-03
1.306234239999999949e-02,8.237146408485699137e-03
1.368470339999999959e-02,8.236326671274451366e-03
1.427996599999999984e-02,8.235507048821852361e-03
1.442494390000000071e-02,8.235302161130830800e-03
1.471061409999999993e-02,8.234892407262916700e-03
1.485138870000000076e-02,8.234687541093963989e-03
1.553614000000000037e-02,8.233663317748695851e-03
1.593287120000000043e-02,8.233048869755357768e-03
1.631996089999999955e-02,8.232434486290999068e-03
1.644696630000000090e-02,8.232229706122575971e-03
1.682223050000000025e-02,8.231615408637652648e-03
1.730993239999999850e-02,8.230796445609665779e-03
1.742972569999999902e-02,8.230591722780497554e-03
1.754870130000000042e-02,8.230387007089950621e-03
1.824627070000000087e-02,8.229158863435130991e-03
1.835995569999999966e-02,8.228954197910068671e-03
1.847294110000000100e-02,8.228749539525920947e-03
1.880782519999999944e-02,8.228135607322871817e-03
1.924527490000000132e-02,8.227317131299422340e-03
1.935309240000000069e-02,8.227112530208711971e-03
2.009162109999999835e-02,8.225680522863224042e-03
2.019492059999999922e-02,8.225475978993070092e-03
2.039995039999999843e-02,8.225066912774981961e-03
2.050169640000000168e-02,8.224862390416767810e-03
2.080394890000000080e-02,8.224248866185761980e-03
2.100303430000000082e-02,8.223839885775414971e-03
2.129817330000000064e-02,8.223226468872159994e-03
2.168544450000000137e-02,8.222408679729958578e-03
2.197141860000000058e-02,8.221795413017712537e-03
2.206591980000000008e-02,8.221591005047804504e-03
2.243994499999999934e-02,8.220773444810170263e-03
2.253248119999999924e-02,8.220569072607406685e-03
2.280783739999999934e-02,8.219955998868832409e-03
2.307990860000000075e-02,8.219342989433262026e-03
2.325952140000000015e-02,8.218934352267989740e-03
2.379022509999999951e-02,8.217708612154966258e-03
2.387752890000000017e-02,8.217504347174619389e-03
2.447993949999999891e-02,8.216074692138527341e-03
2.456479220000000116e-02,8.215870484219666217e-03
2.464935279999999965e-02,8.215666283483401625e-03
2.481760959999999849e-02,8.215257903489970454e-03
2.490131170000000130e-02,8.215053724103520139e-03
2.523334379999999863e-02,8.214237078329725619e-03
2.556106320000000112e-02,8.213420546652880003e-03
2.580412149999999905e-02,8.212808222916681902e-03
2.596489630000000173e-02,8.212400042673670061e-03
