q,I
2.039995199999999811e-03,8.493633697713831967e-05
2.884988900000000096e-03,8.493586566821202568e-05
4.079990399999999622e-03,8.493492305821204299e-05
4.561568000000000220e-03,8.493445175713840850e-05
5.769977800000000191e-03,8.493303786962234968e-05
6.119985599999999866e-03,8.493256657901862518e-05
6.451031299999999968e-03,8.493209529103240866e-05
7.355307299999999833e-03,8.493068144277812943e-05
8.159980799999999243e-03,8.492926761808047343e-05
8.411115699999999196e-03,8.492879634841597259e-05
8.654966599999999385e-03,8.492832508136877645e-05
9.123135799999999504e-03,8.492738255512629827e-05
1.019997589999999989e-02,8.492502628532271828e-05
1.040197520000000000e-02,8.492455503921367515e-05
1.098571020000000016e-02,8.492314131658981833e-05
1.153995529999999985e-02,8.492172761752034857e-05
1.189511369999999950e-02,8.492078516455984062e-05
1.223997100000000053e-02,8.491984272206750794e-05
1.240880609999999926e-02,8.491937150474690563e-05
1.290206219999999980e-02,8.491795786848744967e-05
1.306234239999999949e-02,8.491748666163500907e-05
1.368470339999999959e-02,8.491560186039474292e-05
1.427996599999999984e-02,8.491371710102567350e-05
1.442494390000000071e-02,8.491324591772539735e-05
1.471061409999999993e-02,8.491230355897585113e-05
1.485138870000000076e-02,8.491183238352622870e-05
1.553614000000000037e-02,8.490947654553027385e-05
1.593287120000000043e-02,8.490806307413366512e-05
1.631996089999999955e-02,8.490664962628733704e-05
1.644696630000000090e-02,8.490617848223829661e-05
1.682223050000000025e-02,8.490476506579168318e-05
1.730993239999999850e-02,8.490288054716202187e-05
1.742972569999999902e-02,8.490240942404580831e-05
1.754870130000000042e-02,8.490193830354620828e-05
1.824627070000000087e-02,8.489911163549494419e-05
1.835995569999999966e-02,8.489864053331059527e-05
1.847294110000000100e-02,8.489816943374264304e-05
1.880782519999999944e-02,8.489675615073701736e-05
1.924527490000000132e-02,8.489487181002513584e-05
1.935309240000000069e-02,8.489440073138793694e-05
2.009162109999999835e-02,8.489110325418220652e-05
2.019492059999999922e-02,8.489063219647486648e-05
2.039995039999999843e-02,8.488969008890848199e-05
2.050169640000000168e-02,8.488921903904945109e-05
2.080394890000000080e-02,8.488780590516889534e-05
2.100303430000000082e-02,8.488686382899584225e-05
2.129817330000000064e-02,8.488545073435629007e-05
2.168544450000000137e-02,8.488356664479427172e-05
2.197141860000000058e-02,8.488215360508976639e-05
2.206591980000000008e-02,8.488168259708702443e-05
2.243994499999999934e-02,8.487979859123404676e-05
2.253248119999999924e-02,8.487932759631026600e-05
2.280783739999999934e-02,8.487791462723421384e-05
2.307990860000000075e-02,8.487650168169979582e-05
2.325952140000000015e-02,8.487555973108872488e-05
2.379022509999999951e-02,8.487273394203244414e-05
2.387752890000000017e-02,8.487226298634423238e-05
2.447993949999999891e-02,8.486896636976379370e-05
2.456479220000000116e-02,8.486849543500004690e-05
2.464935279999999965e-02,8.486802450285170745e-05
2.481760959999999849e-02,8.486708264640127771e-05
2.490131170000000130e-02,8.486661172209933649e-05
2.523334379999999863e-02,8.486472805104579417e-05
2.556106320000000112e-02,8.486284442183782075e-05
2.580412149999999905e-02,8.486143172739256412e-05
2.596489630000000173e-02,8.486048994417185961e-05
2.612468180000000056e-02,8.485954817141245924e-05
2.651993379999999928e-02,8.485719378527907389e-05
2.659827940000000085e-02,8.485672291589785451e-05
2.683194360000000153e-02,8.485531032344449914e-05
2.721692649999999866e-02,8.485295605499058023e-05
2.736940339999999888e-02,8.485201436591391507e-05
2.744532419999999931e-02,8.485154352529815141e-05
2.774693010000000085e-02,8.484966018898411518e-05
2.834051430000000121e-02,8.484589364187022508e-05
2.841384049999999897e-02,8.484542283524788581e-05
2.855992799999999832e-02,8.484448122984704409e-05
2.863269220000000045e-02,8.484401043106848742e-05
2.884988380000000005e-02,8.484259805042168362e-05
2.899377430000000047e-02,8.484165647639709711e-05
2.920828110000000047e-02,8.484024413497056152e-05
2.942122390000000143e-02,8.483883181707502132e-05
2.970277299999999829e-02,8.483694876315138846e-05
3.012016249999999867e-02,8.483412426070093936e-05
3.032670299999999999e-02,8.483271204477000563e-05
3.059992200000000162e-02,8.483082912679732921e-05
3.066784640000000048e-02,8.483035840383987649e-05
3.087072290000000135e-02,8.482894625065324037e-05
3.107227489999999856e-02,8.482753412099532282e-05
3.113916889999999993e-02,8.482706341633730542e-05
3.120591959999999970e-02,8.482659271429397708e-05
3.166923519999999964e-02,8.482329787318630579e-05
3.173487090000000344e-02,8.482282719205557040e-05
3.186573689999999681e-02,8.482188583763723168e-05
3.193096869999999948e-02,8.482141516434872034e-05
3.225514909999999819e-02,8.481906183711731097e-05
3.263991580000000226e-02,8.481623793069999954e-05
3.270360349999999749e-02,8.481576728877916467e-05
3.289392669999999935e-02,8.481435537869945473e-05
3.295712349999999763e-02,8.481388474723371694e-05
3.320870809999999784e-02,8.481200224750867105e-05
3.345840099999999873e-02,8.481011978960332229e-05
