q,I
2.039995199999999811e-03,6.570116198880572578e-03
2.884988900000000096e-03,6.569778022659894870e-03
4.079990399999999622e-03,6.569101728876983876e-03
4.561568000000000220e-03,6.568763611311667985e-03
5.769977800000000191e-03,6.567749375907079232e-03
6.119985599999999866e-03,6.567411336533829011e-03
6.451031299999999968e-03,6.567073316702521507e-03
7.355307299999999833e-03,6.566059374462584163e-03
8.159980799999999243e-03,6.565045608083720785e-03
8.411115699999999196e-03,6.564707725027708364e-03
8.654966599999999385e-03,6.564369861501295235e-03
9.123135799999999504e-03,6.563694193061357825e-03
1.019997589999999989e-02,6.562005363719840799e-03
1.040197520000000000e-02,6.561667656437624938e-03
1.098571020000000016e-02,6.560654651697027905e-03
1.153995529999999985e-02,6.559641822624044140e-03
1.189511369999999950e-02,6.558966700836376187e-03
1.223997100000000053e-02,6.558291657121016402e-03
1.240880609999999926e-02,6.557954164515507507e-03
1.290206219999999980e-02,6.556941803751405000e-03
1.306234239999999949e-02,6.556604389154992683e-03
1.368470339999999959e-02,6.555254925911344066e-03
1.427996599999999984e-02,6.553905774686089210e-03
1.442494390000000071e-02,6.553568535587743493e-03
1.471061409999999993e-02,6.552894115884565045e-03
1.485138870000000076e-02,6.552556935323945210e-03
1.553614000000000037e-02,6.550871324629833209e-03
1.593287120000000043e-02,6.549860191994253192e-03
1.631996089999999955e-02,6.548849234810288217e-03
1.644696630000000090e-02,6.548512287964680136e-03
1.682223050000000025e-02,6.547501564413477602e-03
1.730993239999999850e-02,6.546154205476565659e-03
1.742972569999999902e-02,6.545817414507141066e-03
1.754870130000000042e-02,6.545480642867845984e-03
1.824627070000000087e-02,6.543460422127762507e-03
1.835995569999999966e-02,6.543123786872376800e-03
1.847294110000000100e-02,6.542787170963234450e-03
1.880782519999999944e-02,6.541777439882272456e-03
1.924527490000000132e-02,6.540431404139982093e-03
1.935309240000000069e-02,6.540094943919366050e-03
2.009162109999999835e-02,6.537740266076752862e-03
2.019492059999999922e-02,6.537403961177617323e-03
2.039995039999999843e-02,6.536731409981832823e-03
2.050169640000000168e-02,6.536395163630221751e-03
2.080394890000000080e-02,6.535386540698837933e-03
2.100303430000000082e-02,6.534714222405720203e-03
2.129817330000000064e-02,6.533705890992570417e-03
2.168544450000000137e-02,6.532361720619715359e-03
2.197141860000000058e-02,6.531353797020565156e-03
2.206591980000000008e-02,6.531017861133071173e-03
2.243994499999999934e-02,6.529674312476845682e-03
2.253248119999999924e-02,6.529338473746069266e-03
2.280783739999999934e-02,6.528331073875193354e-03
2.307990860000000075e-02,6.527323848487889130e-03
2.325952140000000015e-02,6.526652462206085012e-03
2.379022509999999951e-02,6.524638768218953000e-03
2.387752890000000017e-02,6.524303220596256933e-03
2.447993949999999891e-02,6.521954929015488615e-03
2.456479220000000116e-02,6.521619536019746151e-03
2.464935279999999965e-02,6.521284162625267875e-03
2.481760959999999849e-02,6.520613474269110720e-03
2.490131170000000130e-02,6.520278158606751008e-03
2.523334379999999863e-02,6.518937091698983298e-03
2.556106320000000112e-02,6.517596333993938042e-03
2.580412149999999905e-02,6.516590969435047918e-03
2.596489630000000173e-02,6.515920822634258154e-03
2.612468180000000056e-02,6.515250753684816154e-03
2.651993379999999928e-02,6.513575920307430704e-03
2.659827940000000085e-02,6.513241011533858413e-03
2.683194360000000153e-02,6.512236401700077087e-03
2.721692649999999866e-02,6.510562438317182149e-03
2.736940339999999888e-02,6.509892987993794178e-03
2.744532419999999931e-02,6.509558291725854769e-03
2.774693010000000085e-02,6.508219701375592137e-03
2.834051430000000121e-02,6.505543447527956449e-03
2.841384049999999897e-02,6.505209003033379615e-03
2.855992799999999832e-02,6.504540171848967843e-03
2.863269220000000045e-02,6.504205785001643432e-03
2.884988380000000005e-02,6.503202740025726056e-03
2.899377430000000047e-02,6.502534139575810897e-03
2.920828110000000047e-02,6.501531385132038737e-03
2.942122390000000143e-02,6.500528803316812584e-03
2.970277299999999829e-02,6.499192299012415512e-03
3.012016249999999867e-02,6.497188119940777024e-03
3.032670299999999999e-02,6.496186291010884808e-03
3.059992200000000162e-02,6.494850789149104499e-03
3.066784640000000048e-02,6.494516962597231616e-03
3.087072290000000135e-02,6.493515596323238236e-03
3.107227489999999856e-02,6.492514402968099438e-03
3.113916889999999993e-02,6.492180710222769657e-03
3.120591959999999970e-02,6.491847037965654300e-03
3.166923519999999964e-02,6.489511865415483957e-03
3.173487090000000344e-02,6.489178345326312644e-03
3.186573689999999681e-02,6.488511365086087855e-03
3.193096869999999948e-02,6.488177904301945312e-03
3.225514909999999819e-02,6.486510886813522808e-03
3.263991580000000226e-02,6.484511101898488873e-03
3.270360349999999749e-02,6.484177871576298803e-03
3.289392669999999935e-02,6.483178295474441820e-03
3.295712349999999763e-02,6.482845141994528215e-03
3.320870809999999784e-02,6.481512720734600511e-03
3.345840099999999873e-02,6.480180606616551577e-03
3.364445469999999966e-02,6.479181724632028516e-03
3.376792089999999802e-02,6.478515897909969262e-03
3.395227840000000080e-02,6.477517302491331806e-03
3.419654240000000178e-02,6.476186112463937564e-03
3.461985769999999935e-02,6.473857266409725406e-03
3.467990950000000155e-02,6.473524652203872104e-03
3.473985749999999872e-02,6.473192056043871809e-03
3.485944419999999905e-02,6.472526921576505360e-03
3.491908400000000301e-02,6.472194383860991294e-03
3.509739530000000052e-02,6.471196881747202402e-03
3.521576790000000012e-02,6.470531979128058865e-03
3.562697489999999689e-02,6.468205417980101360e-03
3.568533189999999883e-02,6.467873127979442867e-03
3.609118929999999975e-02,6.465547640834562806e-03
3.614879690000000201e-02,6.465215506812391384e-03
3.632107169999999885e-02,6.464219213194922868e-03
3.649253310000000194e-02,6.463223094363353648e-03
3.671990299999999818e-02,6.461895204809438992e-03
3.677652580000000115e-02,6.461563278848951770e-03
3.694587359999999820e-02,6.460567620047347193e-03
3.722640800000000250e-02,6.458908569991972208e-03
3.744932249999999990e-02,6.457581672975707711e-03
3.750484409999999685e-02,6.457249997177122100e-03
3.761564139999999667e-02,6.456586702871500855e-03
3.794609239999999911e-02,6.454597277530176209e-03
3.811024350000000172e-02,6.453602825475516190e-03
3.832801789999999709e-02,6.452277153696872256e-03
3.849054019999999937e-02,6.451283100704371422e-03
3.870617500000000238e-02,6.449957966606651577e-03
3.875989619999999775e-02,6.449626731654258850e-03
3.881354310000000030e-02,6.449295514654569683e-03
3.897404079999999826e-02,6.448301976785199632e-03
3.918701509999999999e-02,6.446977527827634467e-03
3.924007809999999902e-02,6.446646465545047278e-03
3.939883820000000120e-02,6.445653387540411193e-03
3.960952859999999909e-02,6.444329550967984287e-03
4.007953250000000078e-02,6.441352036871541425e-03
4.018323120000000248e-02,6.440690575666989555e-03
4.023498040000000192e-02,6.440359873461190196e-03
4.038983000000000156e-02,6.439367882742306863e-03
4.049273419999999818e-02,6.438706651613825167e-03
4.064660190000000256e-02,6.437714950300097057e-03
4.079988930000000291e-02,6.436723417076250370e-03
