q,I
2.039995199999999811e-03,8.482350673793406857e-05
2.884988900000000096e-03,8.481927630739992245e-05
4.079990399999999622e-03,8.481081607934175400e-05
4.561568000000000220e-03,8.480658628179316095e-05
5.769977800000000191e-03,8.479389815495349950e-05
6.119985599999999866e-03,8.478966920125264391e-05
6.451031299999999968e-03,8.478544045846942963e-05
7.355307299999999833e-03,8.477275549561023903e-05
8.159980799999999243e-03,8.476007243080393029e-05
8.411115699999999196e-03,8.475584516425034988e-05
8.654966599999999385e-03,8.475161810851568063e-05
9.123135799999999504e-03,8.474316462963818073e-05
1.019997589999999989e-02,8.472203462151184057e-05
1.040197520000000000e-02,8.471780925226819249e-05
1.098571020000000016e-02,8.470513440884501206e-05
1.153995529999999985e-02,8.469246146187376701e-05
1.189511369999999950e-02,8.468401388411223453e-05
1.223997100000000053e-02,8.467556714914613997e-05
1.240880609999999926e-02,8.467134409755210415e-05
1.290206219999999980e-02,8.465867620655751966e-05
1.306234239999999949e-02,8.465445399732116159e-05
1.368470339999999959e-02,8.463756726689358387e-05
1.427996599999999984e-02,8.462068390548206404e-05
1.442494390000000071e-02,8.461646359124219479e-05
1.471061409999999993e-02,8.460802359434572940e-05
1.485138870000000076e-02,8.460380391195245885e-05
1.553614000000000037e-02,8.458270865554068623e-05
1.593287120000000043e-02,8.457005402660234985e-05
1.631996089999999955e-02,8.455740129195555405e-05
1.644696630000000090e-02,8.455318413402851526e-05
1.682223050000000025e-02,8.454053392313573881e-05
1.730993239999999850e-02,8.452366991884978126e-05
1.742972569999999902e-02,8.451945444406931164e-05
1.754870130000000042e-02,8.451523917872783486e-05
1.824627070000000087e-02,8.448995200401466631e-05
1.835995569999999966e-02,8.448573821120502992e-05
1.847294110000000100e-02,8.448152462790904725e-05
1.880782519999999944e-02,8.446888513854291039e-05
1.924527490000000132e-02,8.445203542832503858e-05
1.935309240000000069e-02,8.444782352663361853e-05
2.009162109999999835e-02,8.441834609250907972e-05
2.019492059999999922e-02,8.441413586999642837e-05
2.039995039999999843e-02,8.440571605679782923e-05
2.050169640000000168e-02,8.440150646577087277e-05
2.080394890000000080e-02,8.438887894968783224e-05
2.100303430000000082e-02,8.438046165447364349e-05
2.129817330000000064e-02,8.436783728811811140e-05
2.168544450000000137e-02,8.435100773572055813e-05
2.197141860000000058e-02,8.433838777671460627e-05
2.206591980000000008e-02,8.433418154225198456e-05
2.243994499999999934e-02,8.431735870718579367e-05
2.253248119999999924e-02,8.431315352233001166e-05
2.280783739999999934e-02,8.430053922559999221e-05
2.307990860000000075e-02,8.428792681557238273e-05
2.325952140000000015e-02,8.427951959263531279e-05
2.379022509999999951e-02,8.425430295195561925e-05
2.387752890000000017e-02,8.425010091327360200e-05
2.447993949999999891e-02,8.422069250462864984e-05
2.456479220000000116e-02,8.421649213978684399e-05
2.464935279999999965e-02,8.421229198582832380e-05
2.481760959999999849e-02,8.420389230828413966e-05
2.490131170000000130e-02,8.419969278041357320e-05
2.523334379999999863e-02,8.418289677596571649e-05
2.556106320000000112e-02,8.416610411830110529e-05
2.580412149999999905e-02,8.415351182618778828e-05
2.596489630000000173e-02,8.414511800818478215e-05
