q,I
2.039995199999999811e-03,3.289096323395204746e-03
2.884988900000000096e-03,3.289076745089659394e-03
4.079990399999999622e-03,3.289037588920023722e-03
4.561568000000000220e-03,3.289018011055935137e-03
5.769977800000000191e-03,3.288959278346552124e-03
6.119985599999999866e-03,3.288939701071049576e-03
6.451031299999999968e-03,3.288920123942693213e-03
7.355307299999999833e-03,3.288861393440467833e-03
8.159980799999999243e-03,3.288802664262493493e-03
8.411115699999999196e-03,3.288783088164106208e-03
8.654966599999999385e-03,3.288763512212850362e-03
9.123135799999999504e-03,3.288724360751735156e-03
1.019997589999999989e-02,3.288626484673698100e-03
1.040197520000000000e-02,3.288606909899464276e-03
1.098571020000000016e-02,3.288548186459486818e-03
1.153995529999999985e-02,3.288489464343566978e-03
1.189511369999999950e-02,3.288450317001866217e-03
1.223997100000000053e-02,3.288411170248607945e-03
1.240880609999999926e-02,3.288391597092637803e-03
1.290206219999999980e-02,3.288332878507373765e-03
1.306234239999999949e-02,3.288313305939824429e-03
1.368470339999999959e-02,3.288235017140645703e-03
1.427996599999999984e-02,3.288156730695031369e-03
1.442494390000000071e-02,3.288137159451347095e-03
1.471061409999999993e-02,3.288098017405267047e-03
1.485138870000000076e-02,3.288078446602863466e-03
1.553614000000000037e-02,3.287980594797096801e-03
1.593287120000000043e-02,3.287921885478597202e-03
1.631996089999999955e-02,3.287863177483803939e-03
1.644696630000000090e-02,3.287843608446330574e-03
1.682223050000000025e-02,3.287784902216381224e-03
1.730993239999999850e-02,3.287706629302033709e-03
1.742972569999999902e-02,3.287687061441112255e-03
1.754870130000000042e-02,3.287667493727233770e-03
1.824627070000000087e-02,3.287550090532223839e-03
1.835995569999999966e-02,3.287530523847756719e-03
1.847294110000000100e-02,3.287510957310322158e-03
1.880782519999999944e-02,3.287452258580289294e-03
1.924527490000000132e-02,3.287373995665547523e-03
1.935309240000000069e-02,3.287354430304480126e-03
2.009162109999999835e-02,3.287217476893887925e-03
2.019492059999999922e-02,3.287197912709059755e-03
2.039995039999999843e-02,3.287158784780526682e-03
2.050169640000000168e-02,3.287139221036812671e-03
2.080394890000000080e-02,3.287080530687731556e-03
2.100303430000000082e-02,3.287041404523434809e-03
2.129817330000000064e-02,3.286982716379658210e-03
2.168544450000000137e-02,3.286904467579418107e-03
2.197141860000000058e-02,3.286845782522858188e-03
2.206591980000000008e-02,3.286826221131332933e-03
2.243994499999999934e-02,3.286747977035336769e-03
2.253248119999999924e-02,3.286728416378818188e-03
2.280783739999999934e-02,3.286669735291236627e-03
2.307990860000000075e-02,3.286611055526556056e-03
2.325952140000000015e-02,3.286571936418427459e-03
2.379022509999999951e-02,3.286454582621598387e-03
2.387752890000000017e-02,3.286435024169910742e-03
2.447993949999999891e-02,3.286298119123275043e-03
2.456479220000000116e-02,3.286278561847304040e-03
2.464935279999999965e-02,3.286259004718332204e-03
2.481760959999999849e-02,3.286219890901324013e-03
2.490131170000000130e-02,3.286200334213184443e-03
2.523334379999999863e-02,3.286122108930548871e-03
2.556106320000000112e-02,3.286043885999098517e-03
2.580412149999999905e-02,3.285985220343561487e-03
2.596489630000000173e-02,3.285946110641180772e-03
2.612468180000000056e-02,3.285907001526657510e-03
2.651993379999999928e-02,3.285809231311833181e-03
2.659827940000000085e-02,3.285789677709657387e-03
2.683194360000000153e-02,3.285731017784778926e-03
2.721692649999999866e-02,3.285633254181837947e-03
2.736940339999999888e-02,3.285594149769075368e-03
2.744532419999999931e-02,3.285574597783062940e-03
2.774693010000000085e-02,3.285496391308401643e-03
2.834051430000000121e-02,3.285339985410759903e-03
2.841384049999999897e-02,3.285320435334691900e-03
2.855992799999999832e-02,3.285281335623218158e-03
2.863269220000000045e-02,3.285261785987788133e-03
2.884988380000000005e-02,3.285203137962859014e-03
2.899377430000000047e-02,3.285164040013988790e-03
2.920828110000000047e-02,3.285105394192615151e-03
2.942122390000000143e-02,3.285046749693045724e-03
2.970277299999999829e-02,3.284968559083521755e-03
3.012016249999999867e-02,3.284851277575365994e-03
3.032670299999999999e-02,3.284792638804079866e-03
3.059992200000000162e-02,3.284714455831876795e-03
3.066784640000000048e-02,3.284694910456090189e-03
3.087072290000000135e-02,3.284636275209539252e-03
3.107227489999999856e-02,3.284577641284629895e-03
3.113916889999999993e-02,3.284558096936656107e-03
3.120591959999999970e-02,3.284538552735742634e-03
3.166923519999999964e-02,3.284401747440097389e-03
3.173487090000000344e-02,3.284382204413629873e-03
3.186573689999999681e-02,3.284343118801587823e-03
3.193096869999999948e-02,3.284323576215879281e-03
3.225514909999999819e-02,3.284225865489517719e-03
3.263991580000000226e-02,3.284108617463390306e-03
3.270360349999999749e-02,3.284089076639561035e-03
3.289392669999999935e-02,3.284030455048893380e-03
3.295712349999999763e-02,3.284010914812313109e-03
3.320870809999999784e-02,3.283932755334183912e-03
3.345840099999999873e-02,3.283854598204929715e-03
3.364445469999999966e-02,3.283795981899732038e-03
3.376792089999999802e-02,3.283756905096686055e-03
3.395227840000000080e-02,3.283698290993185536e-03
3.419654240000000178e-02,3.283620140910541163e-03
3.461985769999999935e-02,3.283483383916774041e-03
3.467990950000000155e-02,3.283463847790705180e-03
3.473985749999999872e-02,3.283444311811237366e-03
3.485944419999999905e-02,3.283405240292664763e-03
3.491908400000000301e-02,3.283385704753659720e-03
3.509739530000000052e-02,3.283327099016626442e-03
3.521576790000000012e-02,3.283288029259557109e-03
3.562697489999999689e-02,3.283151289731910116e-03
3.568533189999999883e-02,3.283131756100571372e-03
3.609118929999999975e-02,3.282995024791306084e-03
3.614879690000000201e-02,3.282975492334385108e-03
3.632107169999999885e-02,3.282916895843110503e-03
3.649253310000000194e-02,3.282858300672843437e-03
3.671990299999999818e-02,3.282780175833602786e-03
3.677652580000000115e-02,3.282760644990390542e-03
3.694587359999999820e-02,3.282702053341804253e-03
3.722640800000000250e-02,3.282604403528420478e-03
3.744932249999999990e-02,3.282526286318455510e-03
3.750484409999999685e-02,3.282506757382849718e-03
3.761564139999999667e-02,3.282467699951749623e-03
3.794609239999999911e-02,3.282350531179260150e-03
3.811024350000000172e-02,3.282291948773922389e-03
3.832801789999999709e-02,3.282213840953358570e-03
3.849054019999999937e-02,3.282155261628266936e-03
3.870617500000000238e-02,3.282077157915480169e-03
