binning,bins_number,empirical_var,filename,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,sigma_x,sigma_y,variance,wavelength
False,1000,1.006581287854436,sim_002_rg2_variance1.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,1,1,1.2,0.154
False,1000,1.006581287854436,sim_003_rg2_variance1.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,5,1,1.2,0.154
False,1000,1.4733963755298358,sim_004_rg2_variance2_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,1,1,2,0.154
False,1000,1.4733963755298358,sim_005_rg2_variance2_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,5,1,2,0.154
False,1000,0.7788405325548808,sim_006_rg4_variance0.800_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,1,1,0.8,0.154
False,1000,0.7788405325548808,sim_007_rg4_variance0.800_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,5,1,0.8,0.154
False,1000,1.168260798832332,sim_008_rg4_variance1.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,1,1,1.2,0.154
False,1000,1.168260798832332,sim_009_rg4_variance1.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,5,1,1.2,0.154
False,1000,1.932315457673969,sim_010_rg4_variance2_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,1,1,2,0.154
False,1000,1.932315457673969,sim_011_rg4_variance2_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,5,1,2,0.154
False,1000,0.7788405325548808,sim_012_rg6_variance0.800_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,1,1,0.8,0.154
False,1000,0.7788405325548808,sim_013_rg6_variance0.800_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,5,1,0.8,0.154
False,1000,1.1682607988323355,sim_014_rg6_variance1.200_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,1,1,1.2,0.154
False,1000,1.1682607988323355,sim_015_rg6_variance1.200_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,5,1,1.2,0.154
False,1000,1.9471013313872163,sim_016_rg6_variance2_sigma_x1_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,1,1,2,0.154
False,1000,1.9471013313872163,sim_017_rg6_variance2_sigma_x5_sigma_y1.csv,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,5,1,2,0.154
