q,I
2.039995199999999811e-03,5.291509485959825995e-03
2.884988900000000096e-03,5.291470336639133611e-03
4.079990399999999622e-03,5.291392039510171841e-03
4.561568000000000220e-03,5.291352891701894649e-03
5.769977800000000191e-03,5.291235451301739071e-03
6.119985599999999866e-03,5.291196305509886233e-03
6.451031299999999968e-03,5.291157160222123221e-03
7.355307299999999833e-03,5.291039727383253441e-03
8.159980799999999243e-03,5.290922299080842543e-03
8.411115699999999196e-03,5.290883157321434223e-03
8.654966599999999385e-03,5.290844016066038533e-03
9.123135799999999504e-03,5.290765735067262492e-03
1.019997589999999989e-02,5.290570041390004787e-03
1.040197520000000000e-02,5.290530904166425644e-03
1.098571020000000016e-02,5.290413495519284345e-03
1.153995529999999985e-02,5.290296091407346857e-03
1.189511369999999950e-02,5.290217824518841060e-03
1.223997100000000053e-02,5.290139559645801182e-03
1.240880609999999926e-02,5.290100427965056459e-03
1.290206219999999980e-02,5.289983035945858107e-03
1.306234239999999949e-02,5.289943906280435322e-03
1.368470339999999959e-02,5.289787392656723763e-03
1.427996599999999984e-02,5.289630887093394428e-03
1.442494390000000071e-02,5.289591761961915176e-03
1.471061409999999993e-02,5.289513513210163630e-03
1.485138870000000076e-02,5.289474389589853172e-03
1.553614000000000037e-02,5.289278779043698163e-03
1.593287120000000043e-02,5.289161418759987313e-03
1.631996089999999955e-02,5.289044063008981403e-03
1.644696630000000090e-02,5.289004945432522128e-03
1.682223050000000025e-02,5.288887595724755045e-03
1.730993239999999850e-02,5.288731136497724222e-03
1.742972569999999902e-02,5.288692022949822817e-03
1.754870130000000042e-02,5.288652909905456126e-03
1.824627070000000087e-02,5.288418242212901237e-03
1.835995569999999966e-02,5.288379132692998252e-03
1.847294110000000100e-02,5.288340023676553654e-03
1.880782519999999944e-02,5.288222699647893849e-03
1.924527490000000132e-02,5.288066274657600603e-03
1.935309240000000069e-02,5.288027169668527323e-03
2.009162109999999835e-02,5.287753448839196783e-03
2.019492059999999922e-02,5.287714347876937108e-03
2.039995039999999843e-02,5.287636147462336685e-03
2.050169640000000168e-02,5.287597048009982925e-03
2.080394890000000080e-02,5.287479752672594700e-03
2.100303430000000082e-02,5.287401558297336046e-03
2.129817330000000064e-02,5.287284270508729733e-03
2.168544450000000137e-02,5.287127893835598391e-03
2.197141860000000058e-02,5.287010616614163348e-03
2.206591980000000008e-02,5.286971525213362069e-03
2.243994499999999934e-02,5.286815164641492544e-03
2.253248119999999924e-02,5.286776075756322198e-03
2.280783739999999934e-02,5.286658812119429500e-03
2.307990860000000075e-02,5.286541553010220586e-03
2.325952140000000015e-02,5.286463382786018954e-03
2.379022509999999951e-02,5.286228884186012188e-03
2.387752890000000017e-02,5.286189802846486506e-03
2.447993949999999891e-02,5.285916247552687429e-03
2.456479220000000116e-02,5.285877170236720143e-03
2.464935279999999965e-02,5.285838093423655265e-03
2.481760959999999849e-02,5.285759941306194566e-03
2.490131170000000130e-02,5.285720866001792674e-03
2.523334379999999863e-02,5.285564569812816263e-03
2.556106320000000112e-02,5.285408281669191563e-03
2.580412149999999905e-02,5.285291070840909648e-03
2.596489630000000173e-02,5.285212932802598254e-03
2.612468180000000056e-02,5.285134796775339643e-03
2.651993379999999928e-02,5.284939465504948607e-03
2.659827940000000085e-02,5.284900400758995795e-03
2.683194360000000153e-02,5.284783209537212596e-03
2.721692649999999866e-02,5.284587900887390173e-03
2.736940339999999888e-02,5.284509780945842450e-03
2.744532419999999931e-02,5.284470721728979845e-03
2.774693010000000085e-02,5.284314489887350329e-03
2.834051430000000121e-02,5.284002050326326756e-03
2.841384049999999897e-02,5.283962997642503018e-03
2.855992799999999832e-02,5.283884893782258250e-03
2.863269220000000045e-02,5.283845842605821609e-03
2.884988380000000005e-02,5.283728692091232970e-03
2.899377430000000047e-02,5.283650594260318883e-03
2.920828110000000047e-02,5.283533451282038627e-03
2.942122390000000143e-02,5.283416312825192813e-03
2.970277299999999829e-02,5.283260135249046897e-03
3.012016249999999867e-02,5.283025883954383002e-03
3.032670299999999999e-02,5.282908765087811036e-03
3.059992200000000162e-02,5.282752613630498778e-03
3.066784640000000048e-02,5.282713577021713909e-03
3.087072290000000135e-02,5.282596470208543622e-03
3.107227489999999856e-02,5.282479367914988920e-03
3.113916889999999993e-02,5.282440334821420815e-03
3.120591959999999970e-02,5.282401302230024798e-03
3.166923519999999964e-02,5.282128088149467410e-03
3.173487090000000344e-02,5.282089059574869572e-03
3.186573689999999681e-02,5.282011003931914341e-03
3.193096869999999948e-02,5.281971976863489293e-03
3.225514909999999819e-02,5.281776849051819482e-03
3.263991580000000226e-02,5.281542712243571594e-03
3.270360349999999749e-02,5.281503691199055349e-03
3.289392669999999935e-02,5.281386631077064631e-03
3.295712349999999763e-02,5.281347612040221927e-03
3.320870809999999784e-02,5.281191540911769552e-03
3.345840099999999873e-02,5.281035477813158727e-03
3.364445469999999966e-02,5.280918435758483881e-03
3.376792089999999802e-02,5.280840410231042031e-03
3.395227840000000080e-02,5.280723375703269898e-03
3.419654240000000178e-02,5.280567336690865192e-03
3.461985769999999935e-02,5.280294287735328232e-03
3.467990950000000155e-02,5.280255282748410814e-03
3.473985749999999872e-02,5.280216278263155476e-03
3.485944419999999905e-02,5.280138270797571191e-03
3.491908400000000301e-02,5.280099267817238776e-03
3.509739530000000052e-02,5.279982261885938187e-03
3.521576790000000012e-02,5.279904260439731607e-03
3.562697489999999689e-02,5.279631271177324427e-03
3.568533189999999883e-02,5.279592274717396019e-03
3.609118929999999975e-02,5.279319313539829715e-03
3.614879690000000201e-02,5.279280321091744249e-03
3.632107169999999885e-02,5.279163346756173165e-03
3.649253310000000194e-02,5.279046376933298722e-03
3.671990299999999818e-02,5.278890424188917123e-03
3.677652580000000115e-02,5.278851437256219283e-03
3.694587359999999820e-02,5.278734479466196117e-03
3.722640800000000250e-02,5.278539559842449803e-03
3.744932249999999990e-02,5.278383633166509881e-03
3.750484409999999685e-02,5.278344652750651192e-03
3.761564139999999667e-02,5.278266693422609471e-03
3.794609239999999911e-02,5.278032827467460213e-03
3.811024350000000172e-02,5.277915901255759469e-03
3.832801789999999709e-02,5.277760006656010208e-03
3.849054019999999937e-02,5.277643090967856776e-03
3.870617500000000238e-02,5.277487210398684563e-03
3.875989619999999775e-02,5.277448241509002588e-03
3.881354310000000030e-02,5.277409273120378143e-03
3.897404079999999826e-02,5.277292370960648751e-03
3.918701509999999999e-02,5.277136508428282094e-03
3.924007809999999902e-02,5.277097544047640830e-03
3.939883820000000120e-02,5.276980653911392607e-03
3.960952859999999909e-02,5.276824807409437323e-03
4.007953250000000078e-02,5.276474182081633373e-03
4.018323120000000248e-02,5.276396270851339658e-03
4.023498040000000192e-02,5.276357315987427812e-03
4.038983000000000156e-02,5.276240454400355634e-03
4.049273419999999818e-02,5.276162549179536088e-03
4.064660190000000256e-02,5.276045695103869469e-03
