q,I
2.039995199999999811e-03,1.898980590709476975e-03
2.884988900000000096e-03,1.898885513310564956e-03
4.079990399999999622e-03,1.898695372948254034e-03
4.561568000000000220e-03,1.898600309984363986e-03
5.769977800000000191e-03,1.898315149958796277e-03
6.119985599999999866e-03,1.898220106238154284e-03
6.451031299999999968e-03,1.898125067327711621e-03
7.355307299999999833e-03,1.897839979455102216e-03
8.159980799999999243e-03,1.897554934865412161e-03
8.411115699999999196e-03,1.897459929619461048e-03
8.654966599999999385e-03,1.897364929181737971e-03
9.123135799999999504e-03,1.897174942729995799e-03
1.019997589999999989e-02,1.896700060727442468e-03
1.040197520000000000e-02,1.896605098746701129e-03
1.098571020000000016e-02,1.896320241639592183e-03
1.153995529999999985e-02,1.896035427779992110e-03
1.189511369999999950e-02,1.895845575896713082e-03
1.223997100000000053e-02,1.895655743229630831e-03
1.240880609999999926e-02,1.895560834101549458e-03
1.290206219999999980e-02,1.895276135536204214e-03
1.306234239999999949e-02,1.895181245619901493e-03
1.368470339999999959e-02,1.894801733975535075e-03
1.427996599999999984e-02,1.894422299152740330e-03
1.442494390000000071e-02,1.894327452448564411e-03
1.471061409999999993e-02,1.894137773440337331e-03
1.485138870000000076e-02,1.894042941135787653e-03
1.553614000000000037e-02,1.893568851598890351e-03
1.593287120000000043e-02,1.893284455456588095e-03
1.631996089999999955e-02,1.893000102491067217e-03
1.644696630000000090e-02,1.892905327762915832e-03
1.682223050000000025e-02,1.892621032356129425e-03
1.730993239999999850e-02,1.892242038952444494e-03
1.742972569999999902e-02,1.892147302588936385e-03
1.754870130000000042e-02,1.892052571019906459e-03
1.824627070000000087e-02,1.891484282276001752e-03
1.835995569999999966e-02,1.891389584261440274e-03
1.847294110000000100e-02,1.891294891039393706e-03
1.880782519999999944e-02,1.891010840125889689e-03
1.924527490000000132e-02,1.890632172654892933e-03
1.935309240000000069e-02,1.890537517764142401e-03
2.009162109999999835e-02,1.889875067643817476e-03
2.019492059999999922e-02,1.889780451068681514e-03
2.039995039999999843e-02,1.889591232283208870e-03
2.050169640000000168e-02,1.889496630072384515e-03
2.080394890000000080e-02,1.889212852164615705e-03
2.100303430000000082e-02,1.889023690827584898e-03
2.129817330000000064e-02,1.888739984719349421e-03
2.168544450000000137e-02,1.888361776906415579e-03
2.197141860000000058e-02,1.888078171286671110e-03
2.206591980000000008e-02,1.887983645648308451e-03
2.243994499999999934e-02,1.887605590929376494e-03
2.253248119999999924e-02,1.887511089207051821e-03
2.280783739999999934e-02,1.887227612733960143e-03
2.307990860000000075e-02,1.886944179296533340e-03
2.325952140000000015e-02,1.886755247577025880e-03
2.379022509999999951e-02,1.886188567143140191e-03
2.387752890000000017e-02,1.886094137132261544e-03
2.447993949999999891e-02,1.885433260849058226e-03
2.456479220000000116e-02,1.885338869061797861e-03
2.464935279999999965e-02,1.885244482051388502e-03
2.481760959999999849e-02,1.885055722360146156e-03
2.490131170000000130e-02,1.884961349678828746e-03
2.523334379999999863e-02,1.884583906709872770e-03
2.556106320000000112e-02,1.884206540139282075e-03
2.580412149999999905e-02,1.883923565338368371e-03
