q,I
2.039995199999999811e-03,8.492502808818405886e-05
2.884988900000000096e-03,8.492078752669067661e-05
4.079990399999999622e-03,8.491230703898661853e-05
4.561568000000000220e-03,8.490806711275486853e-05
5.769977800000000191e-03,8.489534860441340868e-05
6.119985599999999866e-03,8.489110952504899405e-05
6.451031299999999968e-03,8.488687065737502650e-05
7.355307299999999833e-03,8.487415532438979840e-05
8.159980799999999243e-03,8.486144189623775439e-05
8.411115699999999196e-03,8.485720451010069876e-05
8.654966599999999385e-03,8.485296733556942756e-05
9.123135799999999504e-03,8.484449362128219853e-05
1.019997589999999989e-02,8.482331303792695770e-05
1.040197520000000000e-02,8.481907755586208465e-05
1.098571020000000016e-02,8.480637237868986894e-05
1.153995529999999985e-02,8.479366910482918668e-05
1.189511369999999950e-02,8.478520131284343880e-05
1.223997100000000053e-02,8.477673436656257182e-05
1.240880609999999926e-02,8.477250121053509207e-05
1.290206219999999980e-02,8.475980301077814464e-05
1.306234239999999949e-02,8.475557070026572910e-05
1.368470339999999959e-02,8.473864357163401453e-05
1.427996599999999984e-02,8.472171982396488343e-05
1.442494390000000071e-02,8.471748941524357042e-05
1.471061409999999993e-02,8.470902923156303018e-05
1.485138870000000076e-02,8.470479945658233574e-05
1.553614000000000037e-02,8.468365374985423460e-05
1.593287120000000043e-02,8.467096885997753048e-05
1.631996089999999955e-02,8.465828587037304296e-05
1.644696630000000090e-02,8.465405862940479067e-05
1.682223050000000025e-02,8.464137817305364116e-05
1.730993239999999850e-02,8.462447385281544681e-05
1.742972569999999902e-02,8.462024830034554825e-05
1.754870130000000042e-02,8.461602295889058460e-05
1.824627070000000087e-02,8.459067534088259694e-05
1.835995569999999966e-02,8.458645147623652927e-05
1.847294110000000100e-02,8.458222782252099137e-05
1.880782519999999944e-02,8.456955812685225317e-05
1.924527490000000132e-02,8.455266815168281148e-05
1.935309240000000069e-02,8.454844618503251532e-05
2.009162109999999835e-02,8.451889832129196630e-05
2.019492059999999922e-02,8.451467804103301247e-05
2.039995039999999843e-02,8.450623811275903650e-05
2.050169640000000168e-02,8.450201846472303504e-05
2.080394890000000080e-02,8.448936078489257238e-05
2.100303430000000082e-02,8.448092338513204646e-05
2.129817330000000064e-02,8.446826886546978297e-05
2.168544450000000137e-02,8.445139912143891016e-05
2.197141860000000058e-02,8.443874902468608663e-05
2.206591980000000008e-02,8.443453274690713441e-05
2.243994499999999934e-02,8.441766974120178959e-05
2.253248119999999924e-02,8.441345451607559401e-05
2.280783739999999934e-02,8.440081010364984364e-05
2.307990860000000075e-02,8.438816758543162173e-05
2.325952140000000015e-02,8.437974029215025305e-05
2.379022509999999951e-02,8.435446346193022310e-05
2.387752890000000017e-02,8.435025139318642310e-05
2.447993949999999891e-02,8.432077280095307849e-05
2.456479220000000116e-02,8.431656241464676588e-05
2.464935279999999965e-02,8.431235223859782902e-05
2.481760959999999849e-02,8.430393251723002903e-05
2.490131170000000130e-02,8.429972297189034923e-05
2.523334379999999863e-02,8.428288689258098601e-05
2.556106320000000112e-02,8.426605417604611850e-05
2.580412149999999905e-02,8.425343184506173917e-05
2.596489630000000173e-02,8.424501800825591480e-05
2.612468180000000056e-02,8.423660501176635101e-05
2.651993379999999928e-02,8.421557619637290134e-05
2.659827940000000085e-02,8.421137106335279808e-05
2.683194360000000153e-02,8.419875692422052263e-05
2.721692649999999866e-02,8.417773755813239770e-05
2.736940339999999888e-02,8.416933128114848243e-05
2.744532419999999931e-02,8.416512845749715341e-05
2.774693010000000085e-02,8.414831926158383929e-05
2.834051430000000121e-02,8.411471094130043341e-05
2.841384049999999897e-02,8.411051084526811124e-05
2.855992799999999832e-02,8.410211128242294886e-05
2.863269220000000045e-02,8.409791181558918356e-05
2.884988380000000005e-02,8.408531467331896935e-05
2.899377430000000047e-02,8.407691762689267008e-05
2.920828110000000047e-02,8.406432362967534533e-05
2.942122390000000143e-02,8.405173151911216999e-05
2.970277299999999829e-02,8.403494497266878838e-05
3.012016249999999867e-02,8.400977143944501349e-05
3.032670299999999999e-02,8.399718750111900356e-05
3.059992200000000162e-02,8.398041184908798800e-05
3.066784640000000048e-02,8.397621845965373840e-05
3.087072290000000135e-02,8.396363954776057102e-05
3.107227489999999856e-02,8.395106252026226547e-05
3.113916889999999993e-02,8.394687059646794897e-05
3.120591959999999970e-02,8.394267888200936860e-05
3.166923519999999964e-02,8.391334274131042486e-05
3.173487090000000344e-02,8.390915270115786981e-05
3.186573689999999681e-02,8.390077324856700313e-05
3.193096869999999948e-02,8.389658383610698036e-05
3.225514909999999819e-02,8.387563991174767431e-05
3.263991580000000226e-02,8.385051410460534133e-05
3.270360349999999749e-02,8.384632720197522757e-05
3.289392669999999935e-02,8.383376774855031701e-05
3.295712349999999763e-02,8.382958168219565589e-05
3.320870809999999784e-02,8.381283950710072088e-05
3.345840099999999873e-02,8.379610067602258111e-05
3.364445469999999966e-02,8.378354874682366379e-05
3.376792089999999802e-02,8.377518183868125508e-05
3.395227840000000080e-02,8.376263304324513184e-05
3.419654240000000178e-02,8.374590424021000393e-05
3.461985769999999935e-02,8.371663687461029617e-05
3.467990950000000155e-02,8.371245665750953692e-05
3.473985749999999872e-02,8.370827664915954608e-05
3.485944419999999905e-02,8.369991725866969415e-05
3.491908400000000301e-02,8.369573787650924678e-05
3.509739530000000052e-02,8.368320098223994315e-05
3.521576790000000012e-02,8.367484409613281944e-05
3.562697489999999689e-02,8.364560156690249585e-05
3.568533189999999883e-02,8.364142489714555177e-05
3.609118929999999975e-02,8.361219404832401138e-05
3.614879690000000201e-02,8.360801904686353616e-05
3.632107169999999885e-02,8.359549529338283357e-05
3.649253310000000194e-02,8.358297341603206543e-05
3.671990299999999818e-02,8.356628049750456960e-05
3.677652580000000115e-02,8.356210778886379639e-05
3.694587359999999820e-02,8.354959091315430062e-05
3.722640800000000250e-02,8.352873362038913197e-05
3.744932249999999990e-02,8.351205153550367083e-05
3.750484409999999685e-02,8.350788153493539270e-05
3.761564139999999667e-02,8.349954215850940618e-05
3.794609239999999911e-02,8.347452902617091364e-05
3.811024350000000172e-02,8.346202527026535362e-05
3.832801789999999709e-02,8.344535650944025337e-05
3.849054019999999937e-02,8.343285712374544317e-05
3.870617500000000238e-02,8.341619418884984411e-05
3.875989619999999775e-02,8.341202897518094493e-05
3.881354310000000030e-02,8.340786396951380664e-05
3.897404079999999826e-02,8.339537020041700344e-05
3.918701509999999999e-02,8.337871475300972200e-05
3.924007809999999902e-02,8.337455141097972083e-05
3.939883820000000120e-02,8.336206263229510810e-05
3.960952859999999909e-02,8.334541383760881686e-05
4.007953250000000078e-02,8.330796620691218813e-05
4.018323120000000248e-02,8.329964679662789731e-05
4.023498040000000192e-02,8.329548740307296084e-05
4.038983000000000156e-02,8.328301046862983739e-05
4.049273419999999818e-02,8.327469355075028023e-05
4.064660190000000256e-02,8.326221973134545408e-05
4.079988930000000291e-02,8.324974778059006885e-05
4.085085730000000137e-02,8.324559087887875076e-05
4.100338109999999980e-02,8.323312141922048360e-05
4.105409649999999799e-02,8.322896534779217854e-05
4.125633449999999841e-02,8.321234313742204307e-05
4.130673929999999910e-02,8.320818810361385533e-05
4.160788569999999964e-02,8.318326225775322664e-05
4.185718599999999762e-02,8.316249642397785362e-05
4.200605599999999995e-02,8.315003941234354844e-05
4.205556230000000173e-02,8.314588748984218648e-05
4.244953370000000004e-02,8.311267957311113577e-05
4.259633349999999985e-02,8.310023002432462096e-05
4.283988209999999713e-02,8.307948492068388427e-05
4.288842589999999899e-02,8.307533652151329225e-05
4.303372860000000133e-02,8.306289256692884029e-05
4.322670569999999962e-02,8.304630352726217991e-05
4.327481560000000227e-02,8.304215678509491204e-05
4.337087509999999757e-02,8.303386392198537158e-05
4.361009829999999698e-02,8.301313538754936982e-05
4.365778569999999997e-02,8.300899030172338515e-05
4.380053619999999676e-02,8.299655628617951767e-05
4.394282299999999891e-02,8.298412413332192494e-05
4.403742540000000344e-02,8.297583706610426777e-05
4.413182499999999953e-02,8.296755082654039271e-05
4.455414840000000015e-02,8.293027298850373067e-05
4.474056810000000273e-02,8.291371043772990945e-05
4.478705179999999814e-02,8.290957031695865933e-05
4.487987470000000256e-02,8.290129069564973279e-05
4.492621420000000171e-02,8.289715119509157850e-05
4.506494700000000103e-02,8.288473393368017553e-05
4.515719859999999669e-02,8.287645679285321465e-05
4.529522390000000065e-02,8.286404263158010826e-05
4.561565869999999884e-02,8.283508348700535651e-05
4.584316940000000146e-02,8.281440458081544749e-05
4.602436819999999873e-02,8.279786517311983260e-05
4.615980060000000190e-02,8.278546278531522461e-05
4.624986849999999927e-02,8.277719555898877229e-05
4.651902589999999671e-02,8.275239883371169930e-05
4.656373419999999819e-02,8.274826676847218184e-05
4.660839960000000282e-02,8.274413490957836066e-05
4.691986699999999705e-02,8.271521767414109197e-05
4.696419369999999677e-02,8.271108746564318230e-05
4.709692359999999994e-02,8.269869807762779412e-05
4.731731260000000133e-02,8.267805322190837681e-05
4.744905459999999853e-02,8.266566878260756316e-05
4.758043189999999756e-02,8.265328619856584635e-05
4.762414379999999753e-02,8.264915908278355479e-05
4.775503939999999753e-02,8.263677897198735045e-05
4.779859160000000246e-02,8.263265268053791618e-05
4.801576009999999894e-02,8.261202431394730039e-05
4.814559110000000280e-02,8.259964976614860065e-05
4.836120139999999790e-02,8.257902963918261144e-05
4.849010740000000291e-02,8.256666003417024492e-05
4.866145090000000006e-02,8.255017010993996964e-05
4.895985910000000274e-02,8.252132066743394958e-05
4.900234049999999814e-02,8.251720014170604725e-05
4.904478510000000180e-02,8.251307982174766907e-05
4.912956429999999763e-02,8.250483979909844807e-05
4.929868529999999888e-02,8.248836222258218345e-05
4.934087499999999932e-02,8.248424334272301160e-05
4.938302859999999656e-02,8.248012466855081544e-05
4.963519859999999950e-02,8.245541694237774096e-05
4.967710250000000050e-02,8.245129970772969031e-05
4.980260260000000244e-02,8.243894923737506283e-05
5.001106959999999935e-02,8.241836923146793326e-05
5.017721960000000314e-02,8.240190892621860480e-05
5.038413659999999711e-02,8.238133816792462139e-05
5.046666589999999897e-02,8.237311130269391447e-05
5.050787989999999672e-02,8.236899817819841687e-05
5.067240099999999886e-02,8.235254773411492739e-05
5.099985089999999749e-02,8.231965670251660755e-05
5.104063439999999979e-02,8.231554624742001868e-05
5.112210379999999887e-02,8.230732595301652743e-05
5.116278989999999832e-02,8.230321611368933692e-05
5.136573690000000025e-02,8.228266999538525817e-05
5.148712109999999814e-02,8.227034478669983844e-05
5.160821980000000059e-02,8.225802142439890064e-05
5.164852290000000040e-02,8.225391404722487215e-05
5.192976900000000062e-02,8.222516814959523340e-05
5.200984570000000140e-02,8.221695688151095787e-05
5.212973010000000046e-02,8.220464151701411279e-05
5.224933949999999855e-02,8.219232799742757351e-05
5.228914839999999897e-02,8.218822390083007972e-05
5.244808220000000271e-02,8.217180956383103498e-05
5.264607470000000344e-02,8.215129625293732263e-05
5.292201970000000311e-02,8.212258622138986924e-05
5.296132299999999765e-02,8.211848560753435655e-05
5.303984240000000211e-02,8.211028499413985796e-05
5.307905849999999814e-02,8.210618499457928289e-05
5.319653330000000124e-02,8.209388622432298654e-05
5.339175040000000011e-02,8.207339236803541313e-05
5.354741159999999722e-02,8.205700096699342994e-05
5.366386120000000287e-02,8.204470956477602473e-05
5.385738429999999827e-02,8.202422798609892529e-05
5.389600549999999657e-02,8.202013228402405735e-05
5.401170360000000226e-02,8.200784640493892377e-05
5.420398480000000047e-02,8.198737402964236789e-05
5.431902689999999756e-02,8.197509305792387518e-05
5.443382580000000193e-02,8.196281392596174351e-05
5.473877910000000263e-02,8.193007856633427531e-05
5.481475239999999971e-02,8.192189676968389227e-05
5.489062050000000081e-02,8.191371579017208879e-05
5.492851530000000121e-02,8.190962560681818556e-05
5.507983360000000272e-02,8.189326691584081263e-05
5.511759819999999949e-02,8.188917775365492282e-05
5.523073729999999903e-02,8.187691149227715017e-05
5.541878909999999742e-02,8.185647180662910844e-05
5.549383139999999881e-02,8.184829736129255119e-05
5.568099469999999995e-02,8.182786481954385958e-05
5.571835189999999743e-02,8.182377892338552777e-05
5.601631270000000107e-02,8.179109909870517037e-05
5.612764020000000215e-02,8.177884753004620040e-05
5.627573429999999793e-02,8.176251496011211698e-05
5.642343970000000125e-02,8.174618565237389911e-05
5.657075939999999664e-02,8.172985960617980576e-05
5.668099790000000193e-02,8.171761721153087104e-05
5.671769649999999774e-02,8.171353682087908522e-05
5.682764989999999905e-02,8.170129687147177795e-05
5.690083420000000003e-02,8.169313792389062989e-05
5.711982439999999800e-02,8.166866596996208384e-05
5.715624119999999919e-02,8.166458802381958756e-05
5.726535270000000094e-02,8.165235540720964060e-05
5.744674450000000071e-02,8.163197178497294494e-05
5.748295419999999850e-02,8.162789567125153147e-05
5.759144669999999994e-02,8.161566855135537286e-05
5.769973510000000333e-02,8.160344326314737640e-05
5.773578619999999995e-02,8.159936857407349938e-05
5.777181470000000013e-02,8.159529408847908112e-05
5.798751569999999883e-02,8.157085144743128461e-05
5.802338790000000079e-02,8.156677838591465455e-05
5.805923799999999912e-02,8.156270552779779439e-05
5.834524540000000231e-02,8.153012998400655019e-05
5.841652840000000069e-02,8.152198813133780184e-05
5.845213739999999963e-02,8.151791750994047251e-05
5.873623160000000093e-02,8.148535985588213626e-05
5.884241330000000020e-02,8.147315408862327375e-05
5.887776470000000151e-02,8.146908590588189749e-05
5.915981499999999754e-02,8.143654775669077858e-05
5.919497680000000012e-02,8.143248140198240724e-05
5.930033710000000291e-02,8.142028355620178318e-05
5.940551060000000272e-02,8.140808753772469926e-05
5.947552290000000103e-02,8.139995787377293270e-05
5.958038699999999854e-02,8.138776490019155100e-05
5.971991950000000299e-02,8.137151044337265974e-05
5.999801099999999693e-02,8.133901126886439691e-05
6.003268190000000254e-02,8.133494978489692114e-05
6.024028800000000294e-02,8.131058513997361690e-05
6.027481950000000005e-02,8.130652507553904869e-05
6.041274809999999662e-02,8.129028684519901756e-05
6.055036250000000314e-02,8.127405185821029335e-05
6.058471719999999894e-02,8.126999361816033554e-05
6.065336839999999757e-02,8.126187774602819760e-05
6.085885719999999804e-02,8.123753499263306149e-05
6.113176780000000032e-02,8.120508933209008465e-05
6.119980530000000002e-02,8.119697994212627800e-05
6.123379560000000166e-02,8.119292555086360299e-05
6.133565380000000067e-02,8.118076359183770132e-05
6.136956899999999882e-02,8.117671001038219013e-05
6.150504259999999696e-02,8.116049770871891294e-05
6.167396609999999807e-02,8.114023688524315029e-05
6.174140610000000001e-02,8.113213397226993193e-05
6.194328550000000044e-02,8.110783008858691873e-05
6.204397889999999777e-02,8.109568087731622039e-05
6.214450920000000322e-02,8.108353348606268148e-05
6.217798310000000050e-02,8.107948476004528404e-05
6.227829700000000329e-02,8.106733979505570105e-05
