q,I
2.039995199999999811e-03,5.371112990821553211e-03
2.884988900000000096e-03,5.370839001417210615e-03
4.079990399999999622e-03,5.370291068050657250e-03
4.561568000000000220e-03,5.370017124086653645e-03
5.769977800000000191e-03,5.369195383060923477e-03
6.119985599999999866e-03,5.368921499671446169e-03
6.451031299999999968e-03,5.368647631423360475e-03
7.355307299999999833e-03,5.367826117518416026e-03
8.159980799999999243e-03,5.367004739853596662e-03
8.411115699999999196e-03,5.366730977570047592e-03
8.654966599999999385e-03,5.366457230420690165e-03
9.123135799999999504e-03,5.365909781520981046e-03
1.019997589999999989e-02,5.364541424057307079e-03
1.040197520000000000e-02,5.364267797949202193e-03
1.098571020000000016e-02,5.363447010377993956e-03
1.153995529999999985e-02,5.362626358917584567e-03
1.189511369999999950e-02,5.362079333549132389e-03
1.223997100000000053e-02,5.361532368656414006e-03
1.240880609999999926e-02,5.361258908886210039e-03
1.290206219999999980e-02,5.360438620269485435e-03
1.306234239999999949e-02,5.360165220958877999e-03
1.368470339999999959e-02,5.359071774834025040e-03
1.427996599999999984e-02,5.357978570454285591e-03
1.442494390000000071e-02,5.357705307125281737e-03
1.471061409999999993e-02,5.357158825780165487e-03
1.485138870000000076e-02,5.356885607762236837e-03
1.553614000000000037e-02,5.355519744183146087e-03
1.593287120000000043e-02,5.354700407211848007e-03
1.631996089999999955e-02,5.353881206093110030e-03
1.644696630000000090e-02,5.353608169238792402e-03
1.682223050000000025e-02,5.352789149219177103e-03
1.730993239999999850e-02,5.351697333760627520e-03
1.742972569999999902e-02,5.351424417610412855e-03
1.754870130000000042e-02,5.351151516544187803e-03
1.824627070000000087e-02,5.349514426860373963e-03
1.835995569999999966e-02,5.349241631356973017e-03
1.847294110000000100e-02,5.348968850930395542e-03
1.880782519999999944e-02,5.348150600102659705e-03
1.924527490000000132e-02,5.347059810020294256e-03
1.935309240000000069e-02,5.346787150176112412e-03
2.009162109999999835e-02,5.344878953142447736e-03
2.019492059999999922e-02,5.344606413823433863e-03
2.039995039999999843e-02,5.344061380369376398e-03
2.050169640000000168e-02,5.343788886232546040e-03
2.080394890000000080e-02,5.342971494172129611e-03
2.100303430000000082e-02,5.342426641414671322e-03
2.129817330000000064e-02,5.341609475184800997e-03
2.168544450000000137e-02,5.340520130932634169e-03
2.197141860000000058e-02,5.339703280752962009e-03
2.206591980000000008e-02,5.339431027452041026e-03
2.243994499999999934e-02,5.338342164685914472e-03
2.253248119999999924e-02,5.338069986599316107e-03
2.280783739999999934e-02,5.337253542577128328e-03
2.307990860000000075e-02,5.336437233892552326e-03
2.325952140000000015e-02,5.335893103278509415e-03
2.379022509999999951e-02,5.334261072201190203e-03
2.387752890000000017e-02,5.333989119623789091e-03
2.447993949999999891e-02,5.332085872282903323e-03
2.456479220000000116e-02,5.331814039895054098e-03
2.464935279999999965e-02,5.331542222526883951e-03
2.481760959999999849e-02,5.330998632846018631e-03
2.490131170000000130e-02,5.330726860531553174e-03
2.523334379999999863e-02,5.329639921425988192e-03
2.556106320000000112e-02,5.328553222521307565e-03
2.580412149999999905e-02,5.327738355940351243e-03
2.596489630000000173e-02,5.327195186586137013e-03
