q,I
2.039995199999999811e-03,5.364554815433678590e-03
2.884988900000000096e-03,5.364281550330143693e-03
4.079990399999999622e-03,5.363735065372250699e-03
4.561568000000000220e-03,5.363461845515723331e-03
5.769977800000000191e-03,5.362642276426229059e-03
6.119985599999999866e-03,5.362369116888076985e-03
6.451031299999999968e-03,5.362095972425352797e-03
7.355307299999999833e-03,5.361276629490467453e-03
8.159980799999999243e-03,5.360457422220846722e-03
8.411115699999999196e-03,5.360184383271930295e-03
8.654966599999999385e-03,5.359911359389739512e-03
9.123135799999999504e-03,5.359365356840960909e-03
1.019997589999999989e-02,5.358000614124869797e-03
1.040197520000000000e-02,5.357727710778471299e-03
1.098571020000000016e-02,5.356909091088291400e-03
1.153995529999999985e-02,5.356090606925533251e-03
1.189511369999999950e-02,5.355545026109773815e-03
1.223997100000000053e-02,5.354999505525408904e-03
1.240880609999999926e-02,5.354726767803500223e-03
1.290206219999999980e-02,5.353908644946506895e-03
1.306234239999999949e-02,5.353635967413256959e-03
1.368470339999999959e-02,5.352545407827083955e-03
1.427996599999999984e-02,5.351455088975563650e-03
1.442494390000000071e-02,5.351182546847523328e-03
1.471061409999999993e-02,5.350637507721436176e-03
1.485138870000000076e-02,5.350365010752126775e-03
1.553614000000000037e-02,5.349002751316386979e-03
1.593287120000000043e-02,5.348185576041982435e-03
1.631996089999999955e-02,5.347368536131046589e-03
1.644696630000000090e-02,5.347096219504608033e-03
1.682223050000000025e-02,5.346279359877092324e-03
1.730993239999999850e-02,5.345190423963623420e-03
1.742972569999999902e-02,5.344918227602710702e-03
1.754870130000000042e-02,5.344646046173699185e-03
1.824627070000000087e-02,5.343013273232916083e-03
1.835995569999999966e-02,5.342741197026478275e-03
1.847294110000000100e-02,5.342469135761840869e-03
1.880782519999999944e-02,5.341653041989941932e-03
1.924527490000000132e-02,5.340565127133762094e-03
1.935309240000000069e-02,5.340293186001240748e-03
2.009162109999999835e-02,5.338390017731709479e-03
2.019492059999999922e-02,5.338118196486264962e-03
2.039995039999999843e-02,5.337574599185274625e-03
2.050169640000000168e-02,5.337302823093636149e-03
2.080394890000000080e-02,5.336487584489749136e-03
2.100303430000000082e-02,5.335944166959310543e-03
2.129817330000000064e-02,5.335129153320026900e-03
2.168544450000000137e-02,5.334042678055565465e-03
2.197141860000000058e-02,5.333227979153090485e-03
2.206591980000000008e-02,5.332956442699735185e-03
2.243994499999999934e-02,5.331870447211038005e-03
2.253248119999999924e-02,5.331598985729894304e-03
2.280783739999999934e-02,5.330784691077038347e-03
2.307990860000000075e-02,5.329970531109284870e-03
2.325952140000000015e-02,5.329427832866338692e-03
2.379022509999999951e-02,5.327800097003807488e-03
2.387752890000000017e-02,5.327528860190737861e-03
2.447993949999999891e-02,5.325630620795705240e-03
2.456479220000000116e-02,5.325359503385858166e-03
2.464935279999999965e-02,5.325088401079563181e-03
2.481760959999999849e-02,5.324546241534645029e-03
2.490131170000000130e-02,5.324275183837532711e-03
2.523334379999999863e-02,5.323191103903482727e-03
2.556106320000000112e-02,5.322107262726651598e-03
2.580412149999999905e-02,5.321294539052433617e-03
2.596489630000000173e-02,5.320752797625208710e-03
2.612468180000000056e-02,5.320211116244705739e-03
2.651993379999999928e-02,5.318857174444783890e-03
2.659827940000000085e-02,5.318586430800167388e-03
2.683194360000000153e-02,5.317774289742566683e-03
2.721692649999999866e-02,5.316421019620451958e-03
2.736940339999999888e-02,5.315879815853467166e-03
2.744532419999999931e-02,5.315609236288818158e-03
2.774693010000000085e-02,5.314527068192404294e-03
2.834051430000000121e-02,5.312363447651537868e-03
2.841384049999999897e-02,5.312093062399821791e-03
2.855992799999999832e-02,5.311552336541903487e-03
2.863269220000000045e-02,5.311281995832486079e-03
2.884988380000000005e-02,5.310471062965280327e-03
2.899377430000000047e-02,5.309930515368929856e-03
2.920828110000000047e-02,5.309119806708560360e-03
2.942122390000000143e-02,5.308309231463048151e-03
2.970277299999999829e-02,5.307228673907858976e-03
3.012016249999999867e-02,5.305608283553597988e-03
3.032670299999999999e-02,5.304798289574458488e-03
3.059992200000000162e-02,5.303718506107762271e-03
3.066784640000000048e-02,5.303448597926152704e-03
3.087072290000000135e-02,5.302638961199018959e-03
3.107227489999999856e-02,5.301829458059780301e-03
3.113916889999999993e-02,5.301559653330929246e-03
3.120591959999999970e-02,5.301289864279432572e-03
3.166923519999999964e-02,5.299401753420863483e-03
3.173487090000000344e-02,5.299132082102297851e-03
3.186573689999999681e-02,5.298592785495925654e-03
3.193096869999999948e-02,5.298323159793548801e-03
3.225514909999999819e-02,5.296975252751958893e-03
3.263991580000000226e-02,5.295358255401731891e-03
3.270360349999999749e-02,5.295088807733232608e-03
3.289392669999999935e-02,5.294280553501512152e-03
3.295712349999999763e-02,5.294011165189284503e-03
3.320870809999999784e-02,5.292933760691064492e-03
3.345840099999999873e-02,5.291856593461074718e-03
3.364445469999999966e-02,5.291048875079945590e-03
3.376792089999999802e-02,5.290510469398798481e-03
3.395227840000000080e-02,5.289702972543996150e-03
3.419654240000000178e-02,5.288626518833780890e-03
3.461985769999999935e-02,5.286743294036218982e-03
3.467990950000000155e-02,5.286474322085476553e-03
3.473985749999999872e-02,5.286205364208748647e-03
3.485944419999999905e-02,5.285667493109744847e-03
3.491908400000000301e-02,5.285398580274896022e-03
3.509739530000000052e-02,5.284591928017903784e-03
3.521576790000000012e-02,5.284054235819977963e-03
3.562697489999999689e-02,5.282172775798538167e-03
3.568533189999999883e-02,5.281904054506158727e-03
3.609118929999999975e-02,5.280023424096688331e-03
3.614879690000000201e-02,5.279754822987579345e-03
3.632107169999999885e-02,5.278949104205447884e-03
3.649253310000000194e-02,5.278143520172476170e-03
3.671990299999999818e-02,5.277069615769244305e-03
3.677652580000000115e-02,5.276801175706630903e-03
3.694587359999999820e-02,5.275995947021771236e-03
3.722640800000000250e-02,5.274654193966603344e-03
3.744932249999999990e-02,5.273581056712878593e-03
3.750484409999999685e-02,5.273312809763167595e-03
3.761564139999999667e-02,5.272776360139578601e-03
3.794609239999999911e-02,5.271167364974077216e-03
3.811024350000000172e-02,5.270363068462565609e-03
3.832801789999999709e-02,5.269290877713678038e-03
3.849054019999999937e-02,5.268486889816090778e-03
3.870617500000000238e-02,5.267415114212373184e-03
3.875989619999999775e-02,5.267147207747176901e-03
3.881354310000000030e-02,5.266879315288998387e-03
3.897404079999999826e-02,5.266075725502554136e-03
3.918701509999999999e-02,5.265004479596246609e-03
3.924007809999999902e-02,5.264736706461035400e-03
3.939883820000000120e-02,5.263933471831065691e-03
3.960952859999999909e-02,5.262862698955063194e-03
4.007953250000000078e-02,5.260454323839836369e-03
4.018323120000000248e-02,5.259919290709811311e-03
4.023498040000000192e-02,5.259651796113626147e-03
4.038983000000000156e-02,5.258849401714938560e-03
4.049273419999999818e-02,5.258314546236609807e-03
4.064660190000000256e-02,5.257512375085386137e-03
4.079988930000000291e-02,5.256710334240521053e-03
4.085085730000000137e-02,5.256443018522426180e-03
4.100338109999999980e-02,5.255641155109955394e-03
4.105409649999999799e-02,5.255373895238271351e-03
4.125633449999999841e-02,5.254305010648416957e-03
4.130673929999999910e-02,5.254037824527349639e-03
4.160788569999999964e-02,5.252435026793626088e-03
4.185718599999999762e-02,5.251099763355908390e-03
4.200605599999999995e-02,5.250298784022988489e-03
4.205556230000000173e-02,5.250031820526700893e-03
4.244953370000000004e-02,5.247896637545302299e-03
4.259633349999999985e-02,5.247096188645669970e-03
4.283988209999999713e-02,5.245762399203086554e-03
4.288842589999999899e-02,5.245495684294478045e-03
4.303372860000000133e-02,5.244695630179051042e-03
4.322670569999999962e-02,5.243629097582253561e-03
4.327481560000000227e-02,5.243362501149803623e-03
4.337087509999999757e-02,5.242829350416346179e-03
4.361009829999999698e-02,5.241496738099248390e-03
4.365778569999999997e-02,5.241230256525110549e-03
4.380053619999999676e-02,5.240430908549322496e-03
4.394282299999999891e-02,5.239631692543387891e-03
4.403742540000000344e-02,5.239098955730619837e-03
4.413182499999999953e-02,5.238566274469610290e-03
4.455414840000000015e-02,5.236169946980616038e-03
4.474056810000000273e-02,5.235105291189625677e-03
4.478705179999999814e-02,5.234839164436695842e-03
4.487987470000000256e-02,5.234306957481598549e-03
4.492621420000000171e-02,5.234040872837368921e-03
4.506494700000000103e-02,5.233242713881420920e-03
4.515719859999999669e-02,5.232710678847455471e-03
4.529522390000000065e-02,5.231912737547673997e-03
4.561565869999999884e-02,5.230051388782444056e-03
4.584316940000000146e-02,5.228722292052895640e-03
4.602436819999999873e-02,5.227659280771406944e-03
4.615980060000000190e-02,5.226862171353372118e-03
4.624986849999999927e-02,5.226330840508307436e-03
4.651902589999999671e-02,5.224737200576093192e-03
4.656373419999999819e-02,5.224471644371809879e-03
4.660839960000000282e-02,5.224206104081879735e-03
4.691986699999999705e-02,5.222347728221761985e-03
4.696419369999999677e-02,5.222082302204080623e-03
4.709692359999999994e-02,5.221286118738310313e-03
4.731731260000000133e-02,5.219959437267193518e-03
4.744905459999999853e-02,5.219163600979853310e-03
4.758043189999999756e-02,5.218367897791811177e-03
4.762414379999999753e-02,5.218102693912829611e-03
4.775503939999999753e-02,5.217307167485226230e-03
4.779859160000000246e-02,5.217042018391486111e-03
4.801576009999999894e-02,5.215716508732954650e-03
4.814559110000000280e-02,5.214921372310103720e-03
4.836120139999999790e-02,5.213596443902643839e-03
4.849010740000000291e-02,5.212801662822598436e-03
4.866145090000000006e-02,5.211742154549484432e-03
4.895985910000000274e-02,5.209888584979379365e-03
4.900234049999999814e-02,5.209623847014302478e-03
4.904478510000000180e-02,5.209359120892360570e-03
4.912956429999999763e-02,5.208829718079205362e-03
4.929868529999999888e-02,5.207771086688434137e-03
4.934087499999999932e-02,5.207506466238256970e-03
4.938302859999999656e-02,5.207241856570551074e-03
4.963519859999999950e-02,5.205654526489815817e-03
4.967710250000000050e-02,5.205390020183630652e-03
4.980260260000000244e-02,5.204596590477218905e-03
5.001106959999999935e-02,5.203274507456422289e-03
5.017721960000000314e-02,5.202217097163727016e-03
5.038413659999999711e-02,5.200895665189195910e-03
5.046666589999999897e-02,5.200367196615799173e-03
5.050787989999999672e-02,5.200102978449291924e-03
5.067240099999999886e-02,5.199046269427262321e-03
5.099985089999999749e-02,5.196933552096097073e-03
5.104063439999999979e-02,5.196669530400480595e-03
5.112210379999999887e-02,5.196141520546609764e-03
5.116278989999999832e-02,5.195877542167824312e-03
5.136573690000000025e-02,5.194557856612714609e-03
5.148712109999999814e-02,5.193766213812311440e-03
5.160821980000000059e-02,5.192974709835099061e-03
5.164852290000000040e-02,5.192710904866324785e-03
5.192976900000000062e-02,5.190864659164376622e-03
5.200984570000000140e-02,5.190337295447395444e-03
5.212973010000000046e-02,5.189546353416109488e-03
5.224933949999999855e-02,5.188755541996775342e-03
5.228914839999999897e-02,5.188491971087822938e-03
5.244808220000000271e-02,5.187437820236183265e-03
5.264607470000000344e-02,5.186120451445145815e-03
5.292201970000000311e-02,5.184276752273477701e-03
5.296132299999999765e-02,5.184013427281032073e-03
5.303984240000000211e-02,5.183486814668528987e-03
5.307905849999999814e-02,5.183223532674863243e-03
5.319653330000000124e-02,5.182433763678780114e-03
5.339175040000000011e-02,5.181117775978370810e-03
5.354741159999999722e-02,5.180065246193008011e-03
5.366386120000000287e-02,5.179276005812282965e-03
5.385738429999999827e-02,5.177960882901497253e-03
5.389600549999999657e-02,5.177697902860251174e-03
5.401170360000000226e-02,5.176909053704405878e-03
5.420398480000000047e-02,5.175594585004769828e-03
5.431902689999999756e-02,5.174806075061022179e-03
5.443382580000000193e-02,5.174017704114150171e-03
5.473877910000000263e-02,5.171916000367902250e-03
5.481475239999999971e-02,5.171390716991689646e-03
5.489062050000000081e-02,5.170865494396474464e-03
5.492851530000000121e-02,5.170602908647264039e-03
5.507983360000000272e-02,5.169552698683461782e-03
5.511759819999999949e-02,5.169290177344854943e-03
5.523073729999999903e-02,5.168502715618778810e-03
5.541878909999999742e-02,5.167190561790021945e-03
5.549383139999999881e-02,5.166665796697612369e-03
5.568099469999999995e-02,5.165354150273429590e-03
5.571835189999999743e-02,5.165091862638366248e-03
5.601631270000000107e-02,5.162994091926752412e-03
5.612764020000000215e-02,5.162207666668392619e-03
5.627573429999999793e-02,5.161159294947506755e-03
5.642343970000000125e-02,5.160111163149271214e-03
5.657075939999999664e-02,5.159063258020041287e-03
5.668099790000000193e-02,5.158277479368749731e-03
5.671769649999999774e-02,5.158015580787889305e-03
5.682764989999999905e-02,5.157229980914787917e-03
5.690083420000000003e-02,5.156706318706373408e-03
5.711982439999999800e-02,5.155135674128996474e-03
5.715624119999999919e-02,5.154873945897957103e-03
5.726535270000000094e-02,5.154088864128260512e-03
5.744674450000000071e-02,5.152780674360698393e-03
5.748295419999999850e-02,5.152519075052185323e-03
5.759144669999999994e-02,5.151734379434084674e-03
5.769973510000000333e-02,5.150949813099481994e-03
5.773578619999999995e-02,5.150688315191511400e-03
5.777181470000000013e-02,5.150426834018653234e-03
5.798751569999999883e-02,5.148858260091820557e-03
5.802338790000000079e-02,5.148596889824434697e-03
5.805923799999999912e-02,5.148335523113474824e-03
5.834524540000000231e-02,5.146245120596967988e-03
5.841652840000000069e-02,5.145722670662200397e-03
5.845213739999999963e-02,5.145461460837654974e-03
