q,I
2.039995199999999811e-03,8.488691833452142348e-05
2.884988900000000096e-03,8.488503534538105238e-05
4.079990399999999622e-03,8.488126949243393225e-05
4.561568000000000220e-03,8.487938662862525875e-05
5.769977800000000191e-03,8.487373828784768503e-05
6.119985599999999866e-03,8.487185559113536945e-05
6.451031299999999968e-03,8.486997293619424649e-05
7.355307299999999833e-03,8.486432522199146037e-05
8.159980799999999243e-03,8.485867788370192336e-05
8.411115699999999196e-03,8.485679552113640763e-05
8.654966599999999385e-03,8.485491320033391235e-05
9.123135799999999504e-03,8.485114868402146614e-05
1.019997589999999989e-02,8.484173812404857326e-05
1.040197520000000000e-02,8.483985613733002122e-05
1.098571020000000016e-02,8.483421042769949741e-05
1.153995529999999985e-02,8.482856509384528797e-05
1.189511369999999950e-02,8.482480174669919512e-05
1.223997100000000053e-02,8.482103856655157027e-05
1.240880609999999926e-02,8.481915703909462105e-05
1.290206219999999980e-02,8.481351270719470912e-05
1.306234239999999949e-02,8.481163134670999021e-05
1.368470339999999959e-02,8.480410632220801936e-05
1.427996599999999984e-02,8.479658196552525555e-05
1.442494390000000071e-02,8.479470098068560833e-05
1.471061409999999993e-02,8.479093913621037377e-05
1.485138870000000076e-02,8.478905827658375822e-05
1.553614000000000037e-02,8.477965460434563265e-05
1.593287120000000043e-02,8.477401290171810377e-05
1.631996089999999955e-02,8.476837157463413814e-05
1.644696630000000090e-02,8.476649121569817093e-05
1.682223050000000025e-02,8.476085038924005902e-05
1.730993239999999850e-02,8.475332987130028515e-05
1.742972569999999902e-02,8.475144984612388143e-05
1.754870130000000042e-02,8.474956986262769222e-05
1.824627070000000087e-02,8.473829083765562246e-05
1.835995569999999966e-02,8.473641114615968969e-05
1.847294110000000100e-02,8.473453149634268395e-05
1.880782519999999944e-02,8.472889279709534664e-05
1.924527490000000132e-02,8.472137511526318292e-05
1.935309240000000069e-02,8.471949579907524339e-05
2.009162109999999835e-02,8.470634175305692324e-05
2.019492059999999922e-02,8.470446277036981590e-05
2.039995039999999843e-02,8.470070493013474454e-05
2.050169640000000168e-02,8.469882607257240128e-05
2.080394890000000080e-02,8.469318974989184859e-05
2.100303430000000082e-02,8.468943240982494854e-05
2.129817330000000064e-02,8.468379671241980781e-05
2.168544450000000137e-02,8.467628303262797463e-05
2.197141860000000058e-02,8.467064821045403652e-05
2.206591980000000008e-02,8.466877001969977336e-05
2.243994499999999934e-02,8.466125767358206454e-05
2.253248119999999924e-02,8.465937969120476399e-05
2.280783739999999934e-02,8.465374599404830414e-05
2.307990860000000075e-02,8.464811267184107503e-05
2.325952140000000015e-02,8.464435733208968337e-05
2.379022509999999951e-02,8.463309231250266788e-05
2.387752890000000017e-02,8.463121495507608784e-05
2.447993949999999891e-02,8.461807461910053943e-05
2.456479220000000116e-02,8.461619759477188852e-05
2.464935279999999965e-02,8.461432061214319814e-05
2.481760959999999849e-02,8.461056677189396195e-05
2.490131170000000130e-02,8.460868991410390113e-05
2.523334379999999863e-02,8.460118289984743336e-05
2.556106320000000112e-02,8.459367655164842543e-05
2.580412149999999905e-02,8.458804722776909664e-05
2.596489630000000173e-02,8.458429455321157624e-05
2.612468180000000056e-02,8.458054204527874515e-05
2.651993379999999928e-02,8.457116150400868066e-05
2.659827940000000085e-02,8.456928552059515944e-05
2.683194360000000153e-02,8.456365782018835948e-05
2.721692649999999866e-02,8.455427915178417104e-05
2.736940339999999888e-02,8.455052797565781766e-05
2.744532419999999931e-02,8.454865244998987291e-05
2.774693010000000085e-02,8.454115076377580152e-05
2.834051430000000121e-02,8.452614938833496463e-05
2.841384049999999897e-02,8.452427440369330940e-05
2.855992799999999832e-02,8.452052455917636643e-05
2.863269220000000045e-02,8.451864969926191188e-05
2.884988380000000005e-02,8.451302536902981601e-05
2.899377430000000047e-02,8.450927602343578395e-05
2.920828110000000047e-02,8.450365231733923763e-05
2.942122390000000143e-02,8.449802898529324043e-05
