# Fitting Parameters Used:
# q_min: 0.0
# q_max: 0.2
# form_factor_name: guinier_ff
# f2_initial: 0.0
# f2_min: -1.0
# f2_max: 1.0
# f2_free: False
# rg_initial: 2.0
# rg_min: 0.5
# rg_max: 2.5
# rg_free: True
# perform_guinier_estimation: False
# var_initial: 0.00025
# var_min: 5e-06
# var_max: 0.5
# var_free: True
# A_initial: 0.1
# A_min: -1.0
# A_max: 0.0
# A_free: True
# auto_init_A: True
# plot_fitting_curve: False
# auto_set_parameters: False
# auto_rg_bound_percent: 0.2

binning,bins_number,empirical_var,form_factor_name,normalization_on,px_number,px_size,q_max,q_min,return_unique,rg,sample_detector_distance,variance,wavelength,filename1,filename2,A_fit,A_fit_error,Ag0,Ag1,Rg_guinier,f2_fit,f2_fit_error,rg_fit,rg_fit_error,var_fit,var_fit_error
False,1000,0.292065199708083,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,0.3,0.154,sim_006_rg2_variance0.300_sigma_x1_sigma_y1.csv,sim_007_rg2_variance0.300_sigma_x5_sigma_y1.csv,-4.701008007600086e-05,7.3241595970283874e-06,0.00014279960365961322,-0.0003041615644602527,2.0640103796337215,2.317224306723231e-15,0.016206716345019183,2.1170459142114737,0.7061181614181463,0.00025836587639734476,0.6993814590192802
False,1000,0.2920651997080874,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,0.3,0.154,sim_016_rg4_variance0.300_sigma_x1_sigma_y1.csv,sim_017_rg4_variance0.300_sigma_x5_sigma_y1.csv,-0.00015633466417053674,0.0003943777556146381,0.0005411520633445577,-0.0032646643965717416,4.020426565917727,9.999999999999942e-15,0.16958956187812588,2.4999999999999996,7.694481230703385,0.4999999999146236,13.987173452792826
False,1000,0.5699250835624303,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,0.6,0.154,sim_008_rg2_variance0.600_sigma_x1_sigma_y1.csv,sim_009_rg2_variance0.600_sigma_x5_sigma_y1.csv,-4.7294638322921564e-05,2.142394217612657e-06,0.00015296802767582852,-0.00043567809161099835,2.129647446420352,9.94292443203437e-15,0.0031480071688290085,2.4999214010667523,0.13957812331698585,0.48119947215958303,0.2520051871341744
False,1000,0.5841303994161677,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,0.6,0.154,sim_028_rg6_variance0.600_sigma_x1_sigma_y1.csv,sim_029_rg6_variance0.600_sigma_x5_sigma_y1.csv,-0.000297472733860915,0.0030791278520005557,0.0012096610694508996,-0.01575152127389454,6.000769806823202,9.999999999999213e-15,0.7028582551901045,2.4999999999999942,31.276548258307212,0.4999999999999951,57.486630384436005
False,1000,0.5841303994161713,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,0.6,0.154,sim_018_rg4_variance0.600_sigma_x1_sigma_y1.csv,sim_019_rg4_variance0.600_sigma_x5_sigma_y1.csv,-0.0001566764118475724,0.0004719683629839986,0.0005501467116651504,-0.0036858945822371694,4.041306056420502,9.999999999999994e-15,0.20248994220291888,2.4999999999999996,9.204619423060281,0.49999999998491207,16.698337351826023
False,1000,0.7295071872936347,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,0.8,0.154,sim_000_rg2_variance0.800_sigma_x1_sigma_y1.csv,sim_001_rg2_variance0.800_sigma_x5_sigma_y1.csv,-4.911184272140834e-05,1.6848402175763614e-05,0.00016061193761565768,-0.0005278991439090984,2.1782322342931044,9.99999999999999e-15,0.02282367010825837,2.4999999999999996,1.0526160994840676,0.4999999999524375,1.9000027099323484
False,1000,0.7788405325548808,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,0.8,0.154,sim_006_rg4_variance0.800_sigma_x1_sigma_y1.csv,sim_007_rg4_variance0.800_sigma_x5_sigma_y1.csv,-0.00015690878935349287,0.0005281716712949754,0.0005560962209148879,-0.003963488366935776,4.055133426616839,9.999999999999998e-15,0.22592709894265947,2.4999999999999996,10.290939490324186,0.49999999999423905,18.6574158444047
False,1000,0.7788405325548808,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,0.8,0.154,sim_012_rg6_variance0.800_sigma_x1_sigma_y1.csv,sim_013_rg6_variance0.800_sigma_x5_sigma_y1.csv,-0.00029609475235255905,0.0031337917364198335,0.0012140374732433031,-0.016207590484281394,6.001832609588691,9.99999999999804e-15,0.7196524237689619,2.499999999999992,31.99003968246451,0.4999999999999921,58.78119449491443
False,1000,1.006581287854436,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,1.2,0.154,sim_002_rg2_variance1.200_sigma_x1_sigma_y1.csv,sim_003_rg2_variance1.200_sigma_x5_sigma_y1.csv,-5.32761494290679e-05,4.953995092682897e-05,0.0001771025910501545,-0.0007249035398679232,2.279896676670668,9.999999999996043e-15,0.063217132933931,2.4999999999999996,2.8332435082078216,0.4999999999997066,5.158404362529094
False,1000,1.168260798832332,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,1.2,0.154,sim_008_rg4_variance1.200_sigma_x1_sigma_y1.csv,sim_009_rg4_variance1.200_sigma_x5_sigma_y1.csv,-0.0001573837798521538,0.0006364368618392708,0.0005678853228411907,-0.004511185399655788,4.082569445647451,9.999999999999998e-15,0.2726462517541061,2.4999999999999996,12.350916315352693,0.4999999999993044,22.42007000808739
False,1000,1.1682607988323357,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,1.2,0.154,sim_014_rg6_variance1.200_sigma_x1_sigma_y1.csv,sim_015_rg6_variance1.200_sigma_x5_sigma_y1.csv,-0.0002934139567366614,0.0032135912086005787,0.0012226314963901795,-0.01709908953461917,6.004115374439301,9.99999999999403e-15,0.7491319142187233,2.499999999999988,33.12479879335543,0.4999999999999847,60.83283766516211
False,1000,1.4733963755298358,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,2,1500,2.0,0.154,sim_004_rg2_variance2_sigma_x1_sigma_y1.csv,sim_005_rg2_variance2_sigma_x5_sigma_y1.csv,-6.185941901652331e-05,0.0001327738992326263,0.00021179016691595697,-0.0011679515987430174,2.4794472084667794,9.999999999999844e-15,0.1446554804021598,2.4999999999999996,6.530760899416443,0.49999999970800446,11.906585362865133
False,1000,1.932315457673969,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,4,1500,2.0,0.154,sim_010_rg4_variance2_sigma_x1_sigma_y1.csv,sim_011_rg4_variance2_sigma_x5_sigma_y1.csv,-0.00015854322429910197,0.0008481240297858122,0.0005916277200764164,-0.005581224284993919,4.138862340874749,9.999999999999998e-15,0.3546187725799161,2.4999999999999996,16.440685973987563,0.49999999999994393,29.61662122675492
False,1000,1.9471013313872163,guinier_ff,True,"[500, 500]",0.075,0.25,0.0001,True,6,1500,2.0,0.154,sim_016_rg6_variance2_sigma_x1_sigma_y1.csv,sim_017_rg6_variance2_sigma_x5_sigma_y1.csv,-0.00028833967127740744,0.003585044201012588,0.0012392171605894624,-0.01880343941431015,6.009283822554561,9.999999999984901e-15,0.8449410439924496,2.4999999999999893,37.69656233138228,0.499999999999974,69.02061244137614
