q,I
2.039995199999999811e-03,8.250274757102073891e-03
2.884988900000000096e-03,8.250069179887607046e-03
4.079990399999999622e-03,8.249658047082469858e-03
4.561568000000000220e-03,8.249452491491185424e-03
5.769977800000000191e-03,8.248835867958645429e-03
6.119985599999999866e-03,8.248630341193862944e-03
6.451031299999999968e-03,8.248424821634930959e-03
7.355307299999999833e-03,8.247808306190040906e-03
8.159980799999999243e-03,8.247191855586455053e-03
8.411115699999999196e-03,8.246986386459641619e-03
8.654966599999999385e-03,8.246780924536156396e-03
9.123135799999999504e-03,8.246370022297937197e-03
1.019997589999999989e-02,8.245342892738809215e-03
1.040197520000000000e-02,8.245137488430713882e-03
1.098571020000000016e-02,8.244521318708255414e-03
1.153995529999999985e-02,8.243905213781942826e-03
1.189511369999999950e-02,8.243494513158105066e-03
1.223997100000000053e-02,8.243083841326276015e-03
1.240880609999999926e-02,8.242878516206579576e-03
1.290206219999999980e-02,8.242262584028657232e-03
1.306234239999999949e-02,8.242057287695352466e-03
1.368470339999999959e-02,8.241236174317125712e-03
1.427996599999999984e-02,8.240415176051896218e-03
1.442494390000000071e-02,8.240209944469620643e-03
1.471061409999999993e-02,8.239799502883785737e-03
1.485138870000000076e-02,8.239594292879568946e-03
1.553614000000000037e-02,8.238568350733093543e-03
1.593287120000000043e-02,8.237952871733598276e-03
1.631996089999999955e-02,8.237337457440083166e-03
1.644696630000000090e-02,8.237132333719863683e-03
1.682223050000000025e-02,8.236517005687837845e-03
1.730993239999999850e-02,8.235696668933442308e-03
1.742972569999999902e-02,8.235491602710889175e-03
1.754870130000000042e-02,8.235286543674143547e-03
1.824627070000000087e-02,8.234056340337964422e-03
1.835995569999999966e-02,8.233851331593060666e-03
1.847294110000000100e-02,8.233646330031454269e-03
1.880782519999999944e-02,8.233031368443293266e-03
1.924527490000000132e-02,8.232211520206311750e-03
1.935309240000000069e-02,8.232006576099844958e-03
2.009162109999999835e-02,8.230572168390669699e-03
2.019492059999999922e-02,8.230367281719348088e-03
2.039995039999999843e-02,8.229957529910344322e-03
2.050169640000000168e-02,8.229752664772041135e-03
2.080394890000000080e-02,8.229138112418167214e-03
2.100303430000000082e-02,8.228728446730036034e-03
2.129817330000000064e-02,8.228114002013202019e-03
2.168544450000000137e-02,8.227294842833061603e-03
2.197141860000000058e-02,8.226680548768707663e-03
2.206591980000000008e-02,8.226475798425770397e-03
2.243994499999999934e-02,8.225656868771399899e-03
2.253248119999999924e-02,8.225452154285597603e-03
2.280783739999999934e-02,8.224838053849973032e-03
2.307990860000000075e-02,8.224224017940373610e-03
2.325952140000000015e-02,8.223814696510947306e-03
2.379022509999999951e-02,8.222586904244821859e-03
2.387752890000000017e-02,8.222382297283729186e-03
2.447993949999999891e-02,8.220950249181718100e-03
2.456479220000000116e-02,8.220745699538473811e-03
2.464935279999999965e-02,8.220541157058553275e-03
2.481760959999999849e-02,8.220132093587430994e-03
2.490131170000000130e-02,8.219927572595627299e-03
2.523334379999999863e-02,8.219109560246136426e-03
2.556106320000000112e-02,8.218291662469998093e-03
2.580412149999999905e-02,8.217678314314682750e-03
2.596489630000000173e-02,8.217269451338254233e-03
2.612468180000000056e-02,8.216860616994000471e-03
